Total links: 4728
Already done: 1120
Pending: 3608
  [20/3608] threads=1139 messages=13080
  [40/3608] threads=1159 messages=13190
  [60/3608] threads=1179 messages=13280
  [80/3608] threads=1199 messages=13343
  [100/3608] threads=1219 messages=13412
  [120/3608] threads=1239 messages=13565
  [140/3608] threads=1259 messages=13680
  [160/3608] threads=1279 messages=13763
  [180/3608] threads=1299 messages=13831
  [200/3608] threads=1319 messages=13904
  [220/3608] threads=1339 messages=13983
  [240/3608] threads=1359 messages=14060
  [260/3608] threads=1379 messages=14161
  [280/3608] threads=1399 messages=14297
  [300/3608] threads=1419 messages=14478
  [320/3608] threads=1439 messages=14650
  [340/3608] threads=1459 messages=14849
  [360/3608] threads=1479 messages=15067
  [380/3608] threads=1499 messages=15223
  [400/3608] threads=1519 messages=15419
  [420/3608] threads=1539 messages=15740
  [440/3608] threads=1559 messages=15915
  [460/3608] threads=1579 messages=16188
  [480/3608] threads=1599 messages=16476
  [500/3608] threads=1619 messages=16667
  [520/3608] threads=1639 messages=16800
  [540/3608] threads=1659 messages=16946
  [560/3608] threads=1679 messages=17328
  [580/3608] threads=1699 messages=17533
  [600/3608] threads=1719 messages=17670
  [620/3608] threads=1739 messages=17844
  [640/3608] threads=1759 messages=17972
  [660/3608] threads=1779 messages=18101
  [680/3608] threads=1799 messages=18332
  [700/3608] threads=1819 messages=18533
  [720/3608] threads=1839 messages=18734
  [740/3608] threads=1859 messages=18936
  [760/3608] threads=1879 messages=19207
  [780/3608] threads=1899 messages=19497
  [800/3608] threads=1919 messages=19701
  [820/3608] threads=1939 messages=19979
  [840/3608] threads=1959 messages=20212
  [860/3608] threads=1979 messages=20535
  [880/3608] threads=1999 messages=20952
  [900/3608] threads=2019 messages=21170
  [920/3608] threads=2039 messages=21657
  [940/3608] threads=2059 messages=21964
  [960/3608] threads=2079 messages=22079
  [980/3608] threads=2099 messages=22301
  [1000/3608] threads=2119 messages=22631
  [1020/3608] threads=2139 messages=22843
  [1040/3608] threads=2159 messages=23087
  [1060/3608] threads=2179 messages=23294
  [1080/3608] threads=2199 messages=23473
  [1100/3608] threads=2219 messages=23888
  [1120/3608] threads=2239 messages=24017
  [1140/3608] threads=2259 messages=24301
  [1160/3608] threads=2279 messages=24516
  [1180/3608] threads=2299 messages=24702
  [1200/3608] threads=2319 messages=24845
  [1220/3608] threads=2339 messages=25055
  [1240/3608] threads=2359 messages=25362
  [1260/3608] threads=2379 messages=25555
  [1280/3608] threads=2399 messages=25716
  [1300/3608] threads=2419 messages=26030
  [1320/3608] threads=2439 messages=26353
  [1340/3608] threads=2459 messages=26536
  [1360/3608] threads=2479 messages=26721
  [1380/3608] threads=2499 messages=26900
  [1400/3608] threads=2519 messages=27081
  [1420/3608] threads=2539 messages=27177
  [1440/3608] threads=2559 messages=27351
  [1460/3608] threads=2579 messages=27429
  [1480/3608] threads=2599 messages=27599
  [1500/3608] threads=2619 messages=27799
  [1520/3608] threads=2639 messages=28058
  [1540/3608] threads=2659 messages=28320
  [1560/3608] threads=2679 messages=28708
  [1580/3608] threads=2699 messages=28969
  [1600/3608] threads=2719 messages=29146
  [1620/3608] threads=2739 messages=29314
  [1640/3608] threads=2759 messages=29490
  [1660/3608] threads=2779 messages=29751
  [1680/3608] threads=2799 messages=29904
  [1700/3608] threads=2819 messages=30026
  [1720/3608] threads=2839 messages=30290
  [1740/3608] threads=2859 messages=30451
  [1760/3608] threads=2879 messages=30578
  [1780/3608] threads=2899 messages=30751
  [1800/3608] threads=2919 messages=30920
  [1820/3608] threads=2939 messages=31049
  [1840/3608] threads=2959 messages=31212
  [1860/3608] threads=2979 messages=31507
  [1880/3608] threads=2999 messages=31693
  [1900/3608] threads=3019 messages=31835
  [1920/3608] threads=3039 messages=32072
  [1940/3608] threads=3059 messages=32282
  [1960/3608] threads=3079 messages=32554
  [1980/3608] threads=3099 messages=32881
  [2000/3608] threads=3119 messages=33039
  [2020/3608] threads=3139 messages=33299
  [2040/3608] threads=3159 messages=33661
  [2060/3608] threads=3179 messages=33825
  [2080/3608] threads=3199 messages=33989
  [2100/3608] threads=3219 messages=34138
  [2120/3608] threads=3239 messages=34430
  [2140/3608] threads=3259 messages=34617
  [2160/3608] threads=3279 messages=34844
  [2180/3608] threads=3299 messages=34999
  [2200/3608] threads=3319 messages=35386
  [2220/3608] threads=3339 messages=35552
  [2240/3608] threads=3359 messages=35764
  [2260/3608] threads=3379 messages=35878
  [2280/3608] threads=3399 messages=36073
  [2300/3608] threads=3419 messages=36295
  [2320/3608] threads=3439 messages=36470
  [2340/3608] threads=3459 messages=36624
  [2360/3608] threads=3479 messages=36759
  [2380/3608] threads=3499 messages=36938
  [2400/3608] threads=3519 messages=37112
  [2420/3608] threads=3539 messages=37310
  [2440/3608] threads=3559 messages=37606
  [2460/3608] threads=3579 messages=37866
  [2480/3608] threads=3599 messages=38075
  [2500/3608] threads=3619 messages=38273
  [2520/3608] threads=3639 messages=38468
  [2540/3608] threads=3659 messages=38606
  [2560/3608] threads=3679 messages=38737
  [2580/3608] threads=3699 messages=38858
  [2600/3608] threads=3719 messages=39057
  [2620/3608] threads=3739 messages=39324
  [2640/3608] threads=3759 messages=39552
  [2660/3608] threads=3779 messages=39697
  [2680/3608] threads=3799 messages=39899
  [2700/3608] threads=3819 messages=40087
  [2720/3608] threads=3839 messages=40194
  [2740/3608] threads=3859 messages=40333
  [2760/3608] threads=3879 messages=40566
  [2780/3608] threads=3899 messages=40747
  [2800/3608] threads=3919 messages=41249
  [2820/3608] threads=3939 messages=41369
  [2840/3608] threads=3959 messages=41446
  [2860/3608] threads=3979 messages=41590
  [2880/3608] threads=3999 messages=41909
  [2900/3608] threads=4019 messages=42019
  [2920/3608] threads=4039 messages=42176
  [2940/3608] threads=4059 messages=42412
  [2960/3608] threads=4079 messages=42560
  [2980/3608] threads=4099 messages=42725
  [3000/3608] threads=4119 messages=42966
  [3020/3608] threads=4139 messages=43132
  [3040/3608] threads=4159 messages=43412
  [3060/3608] threads=4179 messages=43554
  [3080/3608] threads=4199 messages=43706
  [3100/3608] threads=4219 messages=43954
  [3120/3608] threads=4239 messages=44134
  [3140/3608] threads=4259 messages=44619
  [3160/3608] threads=4279 messages=44760
  [3180/3608] threads=4299 messages=44932
  [3200/3608] threads=4319 messages=45130
  [3220/3608] threads=4339 messages=45352
  [3240/3608] threads=4359 messages=45530
  [3260/3608] threads=4379 messages=45691
  [3280/3608] threads=4399 messages=46067
  [3300/3608] threads=4419 messages=46460
  [3320/3608] threads=4439 messages=46722
  [3340/3608] threads=4459 messages=46962
  [3360/3608] threads=4479 messages=47162
  [3380/3608] threads=4499 messages=47321
  [3400/3608] threads=4519 messages=47531
  [3420/3608] threads=4539 messages=47690
  [3440/3608] threads=4559 messages=47942
  [3460/3608] threads=4579 messages=48084
  [3480/3608] threads=4599 messages=48215
  [3500/3608] threads=4619 messages=48527
  [3520/3608] threads=4639 messages=48825
  [3540/3608] threads=4659 messages=48995
  [3560/3608] threads=4679 messages=49150
  [3580/3608] threads=4699 messages=49311
  [3600/3608] threads=4719 messages=49538
  [3608/3608] threads=4727 messages=49738

Done. 4727 threads | 49738 messages -> D:\CarIssueTopicModelling\data\raw\messages_clio.json
