topic,terms_prob,terms_ctfidf
1,"interior, seats, dcc, hatch, series, s3, roof, estate, cupra, handling","interior, seats, dcc, hatch, series, s3, roof, estate, cupra, handling"
2,"rattle, shock, shocks, bearing, mounts, bushes, noises, creaking, rattles, mount","rattle, shock, shocks, bearing, mounts, bushes, noises, creaking, rattles, mount"
3,"coolant, thermostat, water pump, leak, bag, housing, heater, smell, thermostat housing, tools","coolant, thermostat, water pump, leak, bag, housing, heater, smell, thermostat housing, tools"
4,"oil change, filter, service plan, servicing, fluid, brake fluid, inspection, extended, extended warranty, oil filter","oil change, filter, service plan, servicing, fluid, brake fluid, inspection, extended, extended warranty, oil filter"
5,"discs, discs pads, disc, pad, rear discs, calipers, brembo, caliper, dust, rears","discs, discs pads, disc, pad, rear discs, calipers, brembo, caliper, dust, rears"
6,"gpf, cat, intake, regen, delete, pipe, downpipe, chain, milltek, filter","gpf, cat, intake, regen, delete, pipe, downpipe, chain, milltek, filter"
7,"codes, epc, coil, epc light, limp mode, limp, fault code, scan, plugs, cleared","codes, epc, coil, epc light, limp mode, limp, fault code, scan, plugs, cleared"
8,"dtd, lease, pcp, dynaudio, nav, wbac, finance, ex, market, trade","dtd, lease, pcp, dynaudio, nav, wbac, finance, ex, market, trade"
9,"revo, map, pedal box, tuning, throttle, dtuk, remap, boost, apr, tuning box","revo, map, pedal box, tuning, throttle, dtuk, remap, boost, apr, tuning box"
10,"dcc, leather, seats, grey, nav, dynaudio, carbon, keyless, non pp, interior","dcc, leather, seats, grey, nav, dynaudio, carbon, keyless, non pp, interior"
11,"paddles, eco, throttle, sport mode, individual, dsg box, manual mode, gears, modes, manual dsg","paddles, eco, throttle, sport mode, individual, dsg box, manual mode, gears, modes, manual dsg"
12,"handbrake, auto hold, stop start, autohold, start stop, foot brake, seatbelt, engage, brake pedal, hand brake","handbrake, auto hold, stop start, autohold, start stop, foot brake, seatbelt, engage, brake pedal, hand brake"
13,"keyless, fob, agm, batteries, stolen, security, alarm, insurance, key fob, unlock","keyless, fob, agm, batteries, stolen, security, alarm, insurance, key fob, unlock"
14,"coding, album, display, files, music, nav, card, mp3, folder, sd","coding, album, display, files, music, nav, card, mp3, folder, sd"
15,"radar, emergency, cruise control, collision, insurance, adc, bus, accident, lane assist, overtake","radar, emergency, cruise control, collision, insurance, adc, bus, accident, lane assist, overtake"
16,"beam, headlights, led, bulb, dynamic, bulbs, coding, 5q0, xenon, hw","beam, headlights, led, bulb, dynamic, bulbs, coding, 5q0, xenon, hw"
17,"alloys, diamond, 225, spacers, diamond cut, prets, vwr, springs, weight, 235","alloys, diamond, 225, spacers, diamond cut, prets, vwr, springs, weight, 235"
18,"glass, wiper, bonnet, wipers, spoiler, trim, loom, surround, tape, wiring","glass, wiper, bonnet, wipers, spoiler, trim, loom, surround, tape, wiring"
19,"bridgestones, snow, michelin, winter tyres, grip, conti, bridgestone, winters, goodyear, ps4","bridgestones, snow, michelin, winter tyres, grip, conti, bridgestone, winters, goodyear, ps4"
20,"tank, economy, consumption, 95, octane, unleaded, eco, ron, long term, 40mpg","tank, economy, consumption, 95, octane, unleaded, eco, ron, long term, 40mpg"
21,"tracker, build week, bw, transit, emden, ship, boat, text, progress, port","tracker, build week, bw, transit, emden, ship, boat, text, progress, port"
22,"revs, gears, 6th, throttle, dsg box, select, cinch, selecting, kickdown, slipping","revs, gears, 6th, throttle, dsg box, select, cinch, selecting, kickdown, slipping"
23,"electric, gte, tax, weight, km, diesels, economy, production, co2, emissions","electric, gte, tax, weight, km, diesels, economy, production, co2, emissions"
24,"flywheel, slave, slip, slipping, sachs, clutches, cylinder, fluid, clutch slip, slave cylinder","flywheel, slave, slip, slipping, sachs, clutches, cylinder, fluid, clutch slip, slave cylinder"
25,"dipstick, sump, castrol, litre, check oil, 507, edge, castrol edge, engine oil, oil level","dipstick, sump, castrol, litre, check oil, 507, edge, castrol edge, engine oil, oil level"
26,"alignment, camber, wheel alignment, pressures, toe, alloy, psi, tread, tracking, alloys","alignment, camber, wheel alignment, pressures, toe, alloy, psi, tread, tracking, alloys"
27,"mirror, park assist, 5q0, rear view, gps, rod, coding, hw, sw, dataset","mirror, park assist, 5q0, rear view, gps, rod, coding, hw, sw, dataset"
