topic,feature,coefficient
1,mileage_log,0.1992
1,prod_year_centered,-0.0728
1,engine_spec_reg_1.6_TDI,-0.2057
1,engine_spec_reg_2.0_TDI,-1.3191
1,engine_spec_reg_2.0_TSI,-0.2846
1,engine_spec_reg_other,-0.2822
1,engine_spec_reg_unknown,-2.0753
1,technical_bucket_medium,-0.1101
2,mileage_log,-0.0568
2,prod_year_centered,0.0057
2,engine_spec_reg_1.6_TDI,0.1228
2,engine_spec_reg_2.0_TDI,-0.48
2,engine_spec_reg_2.0_TSI,0.2006
2,engine_spec_reg_other,-0.3733
2,engine_spec_reg_unknown,0.8859
2,technical_bucket_medium,-0.0053
3,mileage_log,0.3549
3,prod_year_centered,-0.0151
3,engine_spec_reg_1.6_TDI,-0.1594
3,engine_spec_reg_2.0_TDI,0.4308
3,engine_spec_reg_2.0_TSI,-0.0306
3,engine_spec_reg_other,-0.0811
3,engine_spec_reg_unknown,0.5038
3,technical_bucket_medium,-0.9314
4,mileage_log,0.0478
4,prod_year_centered,0.0689
4,engine_spec_reg_1.6_TDI,-0.1007
4,engine_spec_reg_2.0_TDI,0.2859
4,engine_spec_reg_2.0_TSI,0.2542
4,engine_spec_reg_other,0.1704
4,engine_spec_reg_unknown,0.4468
4,technical_bucket_medium,-0.0063
5,mileage_log,0.0884
5,prod_year_centered,0.0663
5,engine_spec_reg_1.6_TDI,0.0384
5,engine_spec_reg_2.0_TDI,-0.5446
5,engine_spec_reg_2.0_TSI,0.4357
5,engine_spec_reg_other,-0.1024
5,engine_spec_reg_unknown,1.0065
5,technical_bucket_medium,-0.1142
6,mileage_log,-0.0512
6,prod_year_centered,0.0921
6,engine_spec_reg_1.6_TDI,-0.6443
6,engine_spec_reg_2.0_TDI,0.0687
6,engine_spec_reg_2.0_TSI,0.121
6,engine_spec_reg_other,1.3377
6,engine_spec_reg_unknown,0.0672
6,technical_bucket_medium,0.2749
7,mileage_log,0.0321
7,prod_year_centered,-0.0792
7,engine_spec_reg_1.6_TDI,-0.1175
7,engine_spec_reg_2.0_TDI,-0.5684
7,engine_spec_reg_2.0_TSI,-0.2693
7,engine_spec_reg_other,0.3664
7,engine_spec_reg_unknown,0.9264
7,technical_bucket_medium,-0.852
8,mileage_log,-0.1124
8,prod_year_centered,0.0072
8,engine_spec_reg_1.6_TDI,-0.0201
8,engine_spec_reg_2.0_TDI,-0.3661
8,engine_spec_reg_2.0_TSI,0.6692
8,engine_spec_reg_other,-0.5714
8,engine_spec_reg_unknown,-1.0949
8,technical_bucket_medium,0.877
9,mileage_log,-0.1361
9,prod_year_centered,-0.0316
9,engine_spec_reg_1.6_TDI,-0.1623
9,engine_spec_reg_2.0_TDI,-0.3904
9,engine_spec_reg_2.0_TSI,0.1623
9,engine_spec_reg_other,0.4744
9,engine_spec_reg_unknown,-1.0372
9,technical_bucket_medium,0.1349
10,mileage_log,-0.3187
10,prod_year_centered,-0.1347
10,engine_spec_reg_1.6_TDI,-0.4585
10,engine_spec_reg_2.0_TDI,0.5696
10,engine_spec_reg_2.0_TSI,1.0883
10,engine_spec_reg_other,0.0434
10,engine_spec_reg_unknown,-0.7278
10,technical_bucket_medium,0.3046
11,mileage_log,-0.1592
11,prod_year_centered,-0.0756
11,engine_spec_reg_1.6_TDI,-0.5557
11,engine_spec_reg_2.0_TDI,0.1564
11,engine_spec_reg_2.0_TSI,0.2491
11,engine_spec_reg_other,-0.1539
11,engine_spec_reg_unknown,0.222
11,technical_bucket_medium,-0.6252
12,mileage_log,0.0344
12,prod_year_centered,0.0024
12,engine_spec_reg_1.6_TDI,0.7887
12,engine_spec_reg_2.0_TDI,0.1895
12,engine_spec_reg_2.0_TSI,-0.4002
12,engine_spec_reg_other,-0.7017
12,engine_spec_reg_unknown,0.1466
12,technical_bucket_medium,-0.7819
13,mileage_log,0.1447
13,prod_year_centered,0.1228
13,engine_spec_reg_1.6_TDI,-0.3264
13,engine_spec_reg_2.0_TDI,-0.2068
13,engine_spec_reg_2.0_TSI,0.505
13,engine_spec_reg_other,-0.4137
13,engine_spec_reg_unknown,0.8922
13,technical_bucket_medium,-0.0128
14,mileage_log,-0.0073
14,prod_year_centered,0.0217
14,engine_spec_reg_1.6_TDI,-0.477
14,engine_spec_reg_2.0_TDI,0.3579
14,engine_spec_reg_2.0_TSI,-0.1703
14,engine_spec_reg_other,0.1114
14,engine_spec_reg_unknown,0.708
14,technical_bucket_medium,0.7194
15,mileage_log,0.035
15,prod_year_centered,-0.0251
15,engine_spec_reg_1.6_TDI,0.5332
15,engine_spec_reg_2.0_TDI,0.6829
15,engine_spec_reg_2.0_TSI,-0.3204
15,engine_spec_reg_other,-0.5877
15,engine_spec_reg_unknown,0.4506
15,technical_bucket_medium,-0.1385
16,mileage_log,0.348
16,prod_year_centered,0.1348
16,engine_spec_reg_1.6_TDI,0.169
16,engine_spec_reg_2.0_TDI,0.2508
16,engine_spec_reg_2.0_TSI,-0.4034
16,engine_spec_reg_other,0.0185
16,engine_spec_reg_unknown,0.6144
16,technical_bucket_medium,0.5382
17,mileage_log,-0.2371
17,prod_year_centered,-0.011
17,engine_spec_reg_1.6_TDI,-0.286
17,engine_spec_reg_2.0_TDI,-0.5846
