doc_name,thread_name,thread_url,dominant_topic,topic_gamma,engine_group,mileage_miles,mileage_confidence,technical_bucket,chronic_score,n_messages,gamma_vector
doc_00001,Forum Charity - important stuff for once,https://www.golfgtiforum.co.uk/index.php?topic=111467.0,1,0.1597794412886455,MK7.5,,none,medium,1,5,"[0.1597794412886455, 0.016354224029387528, 0.08123114441050304, 0.016367183653434574, 0.03600393370208579, 0.021138061004409712, 0.024017294097283436, 0.05087760905327275, 0.015532384904988959, 0.021242328672407225, 0.02701021668495483, 0.033419166113284916, 0.016682876618147862, 0.025364718399370094, 0.03615379245198429, 0.04974182004523561, 0.040142752725924824, 0.02096143273831842, 0.02310326836760557, 0.014710638778492331, 0.02318750855673686, 0.021418633162530506, 0.06507509082156888, 0.0205625013048773, 0.027573283535804887]"
doc_00002,USAGE GUIDELINES- Please read before posting.,https://www.golfgtiforum.co.uk/index.php?topic=253976.0,1,0.03251321435777925,unknown,,none,low,0,1,"[0.03251321435777925, 0.011568682903703166, 0.017586025537470927, 0.01104722807977723, 0.014918767483540108, 0.010716710932283515, 0.01081255821640161, 0.018662690127558147, 0.007743082133496631, 0.010216226003162323, 0.01298974252933232, 0.02159314786976045, 0.0081411708203665, 0.016372288095937045, 0.018598833679943763, 0.022758695616104836, 0.014068676029965818, 0.013573043206227263, 0.012977850265811244, 0.007019690703713066, 0.011576306367272797, 0.010373587352652317, 0.02185399100277144, 0.01230975243190749, 0.01765431271980801]"
doc_00003,Spec - NO SPAM,https://www.golfgtiforum.co.uk/index.php?topic=251413.0,8,0.07221306894075613,unknown,10000.0,high,high,1,50,"[0.07996883277428407, 0.016466706541312746, 0.0831296946552604, 0.01617322940884987, 0.027141267580398355, 0.019767707657863693, 0.022195690199978583, 0.07221306894075613, 0.012168986462272028, 0.019129042749986086, 0.022369741863757082, 0.03252302747470072, 0.01534573232758656, 0.024558304345820157, 0.03385160656781782, 0.04324074153358573, 0.031123117942004216, 0.019588196557685556, 0.02066283564935975, 0.011436972426674456, 0.021068927515819017, 0.017258535702161355, 0.07246080332937416, 0.018920435417050838, 0.02553014953011875]"
doc_00004,GTI Review and links.,https://www.golfgtiforum.co.uk/index.php?topic=245312.0,1,0.5294632633394021,MK7,,none,high,3,25,"[0.5294632633394021, 0.011053745646403068, 0.03070604616712392, 0.012085912249600308, 0.035038560712106315, 0.015256371107094244, 0.01437171552639929, 0.0199741736153551, 0.012278335242588647, 0.012510319126943725, 0.033300621783079076, 0.025770634572659656, 0.009935563937022874, 0.016400986456677976, 0.0206108179291761, 0.02610628370403306, 0.03904963003512498, 0.01650421781461277, 0.019020208310847334, 0.01025559687457688, 0.01361347531971314, 0.014774628664472551, 0.025725921110094398, 0.015445432914391601, 0.0207475378405008]"
doc_00005,New Arrivals!!,https://www.golfgtiforum.co.uk/index.php?topic=254838.0,8,0.045652873457481674,unknown,33000.0,high,medium,1,13,"[0.07467902545004515, 0.012284322346068308, 0.06463426831254004, 0.01208351239655276, 0.022786971012212363, 0.014710059737668918, 0.016247377078500047, 0.045652873457481674, 0.009530593894010215, 0.013888344865751398, 0.017794987963290192, 0.02405190135779104, 0.011112089821647067, 0.018071484760094667, 0.024391332672967385, 0.03218626477681768, 0.02627863580656762, 0.014898388218196819, 0.015837855352801446, 0.008821643100779632, 0.015232278388804909, 0.013052749817211001, 0.049386012299643095, 0.014328627673117288, 0.019258624505195627]"
doc_00006,"Forum Charity, please take time to read",https://www.golfgtiforum.co.uk/index.php?topic=262288.0,1,0.17054868544911936,MK7,,none,low,0,3,"[0.17054868544911936, 0.01563439395570768, 0.07329849057317377, 0.015832436151578363, 0.03565232771601701, 0.020491559358291195, 0.022698080387872892, 0.0464171371198968, 0.014817020800775179, 0.021153071943767504, 0.0269218551112369, 0.03263494103348682, 0.016505098587962275, 0.024433314125150936, 0.035246071209672124, 0.05086326726617987, 0.03954786009326313, 0.020277954484207186, 0.02239219614867791, 0.014138364682636238, 0.022979228705293404, 0.021375538028746338, 0.05867315535625005, 0.01985938205889252, 0.02699543340589345]"
doc_00007,Mk7 Roll Call,https://www.golfgtiforum.co.uk/index.php?topic=258984.0,16,0.036549154130718915,MK7.5,,none,low,0,8,"[0.09484308890730157, 0.01176704558390455, 0.05292904570410906, 0.01186123375526371, 0.021862462911761565, 0.014378658343928256, 0.015696341499389217, 0.040710473926488674, 0.009516945161531568, 0.014494046788082901, 0.017428719331493266, 0.0250486240942396, 0.011424613956850639, 0.017920681292367284, 0.025638249855221854, 0.036549154130718915, 0.02437600621990487, 0.014533691449392873, 0.015385870582398247, 0.008965590890771103, 0.015959020485376174, 0.013489247368721051, 0.04842604619373916, 0.013910775819148185, 0.01946268074520203]"
doc_00008,What have you done to your MK 7 today ?,https://www.golfgtiforum.co.uk/index.php?topic=259354.0,1,1.0,MK7,,none,medium,1,13,"[1.0, 2.115575301073793e-308, 7.234128904689025e-308, 2.3672330526044078e-308, 4.680835998552197e-308, 2.882182729942344e-308, 2.891462797222173e-308, 5.07598766509203e-308, 2.2918300083969945e-308, 3.2141216440094276e-308, 4.2595002763003623e-308, 5.558805788355692e-308, 2.4149594507601307e-308, 3.370348182367091e-308, 5.70645555362176e-308, 1.078967853781008e-307, 4.896974617790109e-308, 2.935683423353945e-308, 3.159012136898891e-308, 2.165911205969858e-308, 3.516805341869113e-308, 3.374972784697737e-308, 6.584150786374258e-308, 2.7255310500006523e-308, 4.235819518336863e-308]"
doc_00009,Sudden Increase In Exhaust Noise,https://www.golfgtiforum.co.uk/index.php?topic=288481.0,11,0.0433668501161506,MK7.5,23000.0,high,high,2,11,"[0.05015645881356852, 0.011553946965264381, 0.023948450741964687, 0.011834533959120931, 0.10893791257975358, 0.01707470973444775, 0.015420054394772753, 0.01641506070512957, 0.012454523416763992, 0.011560913641887223, 0.0433668501161506, 0.02028096012428536, 0.009652158264230652, 0.016459657408737484, 0.017106484660433685, 0.01845546531328132, 0.09667109841423008, 0.0179890727632385, 0.022804443449437398, 0.010001535393887482, 0.012358095606851, 0.01400441235755136, 0.021335077293398903, 0.018595832690777893, 0.01850386782295163]"
doc_00010,DSG oil change,https://www.golfgtiforum.co.uk/index.php?topic=290365.0,7,0.39305196354257793,unknown,80000.0,high,high,1,7,"[0.019061076578907644, 0.010722067615302368, 0.018441404782933685, 0.012383948149175629, 0.01934297803714902, 0.034573516034595644, 0.39305196354257793, 0.015434713316103358, 0.01608453483141737, 0.012383985065991353, 0.014950136548341684, 0.018092222006751195, 0.010790282136321421, 0.02006159883406861, 0.02205807257788244, 0.015298072220054531, 0.018106119851814925, 0.016855764201667095, 0.021873708206845775, 0.013210133921208594, 0.014376198380110877, 0.013221751881612832, 0.03139249684572624, 0.017935115084455437, 0.020979967591724047]"
