topic,terms_prob,terms_ctfidf
1,"seats, leather, diesel, s3, petrol, dcc, hatch, series, nav, torque","seats, leather, diesel, s3, petrol, dcc, hatch, series, nav, torque"
2,"nav, card, sd, sd card, music, discover, usb, maps, nav pro, iphone","nav, card, sd, sd card, music, discover, usb, maps, nav pro, iphone"
3,"finance, pcp, deposit, gfv, lease, dtd, deals, contribution, equity, 5k","finance, pcp, deposit, gfv, lease, dtd, deals, contribution, equity, 5k"
4,"led, beam, assist, headlights, bulb, bulbs, fog, headlight, xenon, coding","led, beam, assist, headlights, bulb, bulbs, fog, headlight, xenon, coding"
5,"clutch, throttle, map, revo, torque, tuning, pedal box, dtuk, remap, ecu","clutch, throttle, map, revo, torque, tuning, pedal box, dtuk, remap, ecu"
6,"coolant, pump, temperature, aircon, thermostat, leak, water pump, bag, seal, smell","coolant, pump, temperature, aircon, thermostat, leak, water pump, bag, seal, smell"
7,"oil change, service plan, fluid, servicing, filter, brake fluid, inspection, policy, extended, long life","oil change, service plan, fluid, servicing, filter, brake fluid, inspection, policy, extended, long life"
8,"tracker, build week, confirmed, bw, transit, emden, ship, progress, boat, port","tracker, build week, confirmed, bw, transit, emden, ship, progress, boat, port"
9,"rattle, shock, shocks, rattles, creaking, noises, rattling, bearing, mounts, alignment","rattle, shock, shocks, rattles, creaking, noises, rattling, bearing, mounts, alignment"
10,"spacers, 225, offset, 235, bolts, prets, bbs, cm, caps, pretoria","spacers, 225, offset, 235, bolts, prets, bbs, cm, caps, pretoria"
11,"exhaust, cat, gpf, intake, milltek, delete, pipe, filter, res, downpipe","exhaust, cat, gpf, intake, milltek, delete, pipe, filter, res, downpipe"
12,"spoiler, plates, diffuser, badges, tape, gloss, gloss black, number plate, rear diffuser, holes","spoiler, plates, diffuser, badges, tape, gloss, gloss black, number plate, rear diffuser, holes"
13,"michelin, bridgestones, grip, winter tyres, snow, conti, bridgestone, ps4, goodyear, winters","michelin, bridgestones, grip, winter tyres, snow, conti, bridgestone, ps4, goodyear, winters"
14,"battery, keyless, fob, stolen, security, batteries, police, alarm, key fob, agm","battery, keyless, fob, stolen, security, batteries, police, alarm, key fob, agm"
15,"chip, chips, coat, wax, body shop, stone chips, detailer, paintwork, lacquer, cleaner","chip, chips, coat, wax, body shop, stone chips, detailer, paintwork, lacquer, cleaner"
16,"pure white, colours, tornado, tornado red, carbon grey, oryx, carbon steel, steel grey, steel, oryx white","pure white, colours, tornado, tornado red, carbon grey, oryx, carbon steel, steel grey, steel, oryx white"
17,"mpg, tank, average, octane, petrol, unleaded, 95, figures, commute, ron","mpg, tank, average, octane, petrol, unleaded, 95, figures, commute, ron"
18,"radar, braking, assist, lane, cruise, message, traffic, emergency, cruise control, bus","radar, braking, assist, lane, cruise, message, traffic, emergency, cruise control, bus"
19,"codes, code, coil, faults, battery, epc, errors, epc light, plugs, scan","codes, code, coil, faults, battery, epc, errors, epc light, plugs, scan"
20,"discs, discs pads, calipers, disc, brembo, pad, rear discs, rears, caliper, rear brakes","discs, discs pads, calipers, disc, brembo, pad, rear discs, rears, caliper, rear brakes"
21,"diamond, diamond cut, alloy, powder, coated, refurb, lacquer, powder coated, white worm, worm","diamond, diamond cut, alloy, powder, coated, refurb, lacquer, powder coated, white worm, worm"
22,"dcc, comfort, dampers, eibach, vwr, bilstein, comfort mode, firm, b6, handling","dcc, comfort, dampers, eibach, vwr, bilstein, comfort mode, firm, b6, handling"
23,"customer service, manager, exeter, service manager, appointment, sit wait, wiring, birmingham, vwuk, dept","customer service, manager, exeter, service manager, appointment, sit wait, wiring, birmingham, vwuk, dept"
24,"handbrake, auto hold, stop start, battery, start stop, autohold, foot brake, release, engage, clutch","handbrake, auto hold, stop start, battery, start stop, autohold, foot brake, release, engage, clutch"
25,"mirror, mirrors, window, flap, fold, tailgate, reset, folding, cap, filler","mirror, mirrors, window, flap, fold, tailgate, reset, folding, cap, filler"
