topic,engine_group,count,pct_of_topic,pct_of_engine_group
1,unknown,396,36.5,10.3
1,MK7,342,31.5,21.3
1,MK7.5,120,11.1,13.5
1,MK8,94,8.7,49.7
1,Golf_R,50,4.6,24.0
1,MK6,39,3.6,18.4
1,other,16,1.5,34.0
1,MK5,16,1.5,15.7
1,2.0_TSI,9,0.8,39.1
1,1.4_TSI,3,0.3,30.0
2,unknown,451,61.3,11.8
2,MK7,146,19.8,9.1
2,MK7.5,88,12.0,9.9
2,MK6,17,2.3,8.0
2,MK8,15,2.0,7.9
2,Golf_R,10,1.4,4.8
2,other,5,0.7,10.6
2,MK5,3,0.4,2.9
2,1.4_TSI,1,0.1,10.0
3,unknown,275,54.1,7.2
3,MK7,84,16.5,5.2
3,MK7.5,54,10.6,6.1
3,Golf_R,41,8.1,19.7
3,MK8,28,5.5,14.8
3,MK6,9,1.8,4.2
3,other,7,1.4,14.9
3,MK5,6,1.2,5.9
3,2.0_TSI,4,0.8,17.4
4,unknown,207,53.1,5.4
4,MK7,93,23.8,5.8
4,MK7.5,65,16.7,7.3
4,MK6,12,3.1,5.7
4,MK8,6,1.5,3.2
4,MK5,4,1.0,3.9
4,Golf_R,2,0.5,1.0
4,other,1,0.3,2.1
5,unknown,204,45.2,5.3
5,MK7,130,28.8,8.1
5,MK7.5,68,15.1,7.7
5,Golf_R,19,4.2,9.1
5,MK6,14,3.1,6.6
5,MK5,8,1.8,7.8
5,MK8,3,0.7,1.6
5,other,3,0.7,6.4
5,1.4_TSI,1,0.2,10.0
5,2.0_TSI,1,0.2,4.3
6,unknown,190,51.9,5.0
6,MK7,89,24.3,5.5
6,MK7.5,54,14.8,6.1
6,MK5,12,3.3,11.8
6,MK6,11,3.0,5.2
6,MK8,6,1.6,3.2
6,Golf_R,3,0.8,1.4
6,2.0_TSI,1,0.3,4.3
7,unknown,200,61.9,5.2
7,MK7,46,14.2,2.9
7,MK7.5,41,12.7,4.6
7,Golf_R,11,3.4,5.3
7,MK5,10,3.1,9.8
7,MK6,9,2.8,4.2
7,MK8,4,1.2,2.1
7,1.4_TSI,1,0.3,10.0
7,2.0_TSI,1,0.3,4.3
8,unknown,258,81.4,6.7
8,MK7,30,9.5,1.9
8,MK6,9,2.8,4.2
8,Golf_R,6,1.9,2.9
8,MK7.5,5,1.6,0.6
8,MK5,4,1.3,3.9
8,other,3,0.9,6.4
8,MK8,2,0.6,1.1
9,unknown,160,56.5,4.2
9,MK7,57,20.1,3.6
9,MK7.5,39,13.8,4.4
9,MK6,16,5.7,7.5
9,MK5,5,1.8,4.9
9,Golf_R,4,1.4,1.9
9,other,1,0.4,2.1
9,MK8,1,0.4,0.5
10,unknown,123,46.9,3.2
10,MK7,67,25.6,4.2
10,MK7.5,54,20.6,6.1
10,MK6,6,2.3,2.8
10,MK8,4,1.5,2.1
10,other,3,1.1,6.4
10,Golf_R,3,1.1,1.4
10,MK5,2,0.8,2.0
11,unknown,104,41.1,2.7
11,MK7,72,28.5,4.5
11,MK7.5,53,20.9,6.0
11,MK8,7,2.8,3.7
11,MK6,6,2.4,2.8
11,Golf_R,5,2.0,2.4
11,MK5,4,1.6,3.9
11,2.0_TSI,2,0.8,8.7
12,unknown,133,52.2,3.5
12,MK7,66,25.9,4.1
12,MK7.5,40,15.7,4.5
12,MK6,7,2.7,3.3
12,Golf_R,7,2.7,3.4
12,MK8,2,0.8,1.1
13,unknown,126,61.5,3.3
13,MK7,34,16.6,2.1
13,MK7.5,21,10.2,2.4
13,MK5,7,3.4,6.9
13,MK6,7,3.4,3.3
13,Golf_R,7,3.4,3.4
