topic,engine_spec,count,pct_of_topic,pct_of_engine_spec
1,unknown,149,88.7,14.2
1,TDI_unknown,10,6.0,10.1
1,2.0_TSI,9,5.4,12.9
2,unknown,95,77.9,9.0
2,2.0_TSI,24,19.7,34.3
2,TDI_unknown,3,2.5,3.0
3,unknown,108,90.0,10.3
3,TDI_unknown,9,7.5,9.1
3,2.0_TSI,2,1.7,2.9
3,TSI_unknown,1,0.8,100.0
4,unknown,58,63.7,5.5
4,TDI_unknown,33,36.3,33.3
5,unknown,60,90.9,5.7
5,TDI_unknown,3,4.5,3.0
5,2.0_TSI,3,4.5,4.3
6,unknown,58,89.2,5.5
6,TDI_unknown,4,6.2,4.0
6,2.0_TSI,3,4.6,4.3
7,unknown,57,96.6,5.4
7,TDI_unknown,1,1.7,1.0
7,2.0_TSI,1,1.7,1.4
8,unknown,48,88.9,4.6
8,TDI_unknown,4,7.4,4.0
8,2.0_TSI,2,3.7,2.9
9,unknown,64,95.5,6.1
9,TDI_unknown,3,4.5,3.0
10,unknown,43,87.8,4.1
10,TDI_unknown,5,10.2,5.1
10,2.0_TSI,1,2.0,1.4
11,unknown,41,74.5,3.9
11,TDI_unknown,8,14.5,8.1
11,2.0_TSI,6,10.9,8.6
12,unknown,54,94.7,5.1
12,2.0_TSI,2,3.5,2.9
12,TDI_unknown,1,1.8,1.0
13,unknown,36,97.3,3.4
13,2.0_TSI,1,2.7,1.4
14,unknown,34,94.4,3.2
14,TDI_unknown,2,5.6,2.0
15,unknown,24,53.3,2.3
15,2.0_TSI,14,31.1,20.0
15,TDI_unknown,7,15.6,7.1
16,unknown,32,97.0,3.0
16,TDI_unknown,1,3.0,1.0
17,unknown,30,96.8,2.9
17,TDI_unknown,1,3.2,1.0
18,unknown,26,86.7,2.5
18,TDI_unknown,2,6.7,2.0
18,2.0_TSI,2,6.7,2.9
19,unknown,35,94.6,3.3
19,TDI_unknown,2,5.4,2.0
