topic,terms_prob,terms_ctfidf
1,"brake, brakes, lights, fuse, abs, switch, control, pedal, cruise, cruise control","brake, brakes, lights, fuse, abs, switch, control, pedal, cruise, cruise control"
2,"fuel, tank, gas, recall, fuel tank, gasoline, suction, pump, canister, gas tank","fuel, tank, gas, recall, fuel tank, gasoline, suction, pump, canister, gas tank"
3,"mileage, engine, owns, tl owns, tl, power, taken, repaired, pedal, ignition","mileage, engine, owns, tl owns, tl, power, taken, repaired, pedal, ignition"
4,"fuel, fuel pump, pump, diesel, high pressure, pressure, high, engine, towed, glow","fuel, fuel pump, pump, diesel, high pressure, pressure, high, engine, towed, glow"
5,"coolant, housing, water, pump, engine, leak, belt, plastic, leaking, tensioner","coolant, housing, water, pump, engine, leak, belt, plastic, leaking, tensioner"
6,"tire, suspension, spring, tires, noise, coil, sound, coil spring, body, loud","tire, suspension, spring, tires, noise, coil, sound, coil spring, body, loud"
7,"deployed, air, passenger, airbags, bags, air bags, bag, hit, air bag, deploy","deployed, air, passenger, airbags, bags, air bags, bag, hit, air bag, deploy"
8,"recall, received, airbag, available, number, parts, vin, campaign, campaign number, notice","recall, received, airbag, available, number, parts, vin, campaign, campaign number, notice"
9,"airbag, seat, bag, air bag, seat belt, belt, airbags, air, warning light, airbag light","airbag, seat, bag, air bag, seat belt, belt, airbags, air, warning light, airbag light"
10,"oil, engine, pan, oil pan, turbo, engine light, manager, check engine, change, pay","oil, engine, pan, oil pan, turbo, engine light, manager, check engine, change, pay"
11,"transmission, gear, neutral, mode, shift, reverse, automatic, manual, gears, accelerate","transmission, gear, neutral, mode, shift, reverse, automatic, manual, gears, accelerate"
12,"window, door, windows, ak, hood, lock, regulator, latch, passenger, rain","window, door, windows, ak, hood, lock, regulator, latch, passenger, rain"
13,"water, roof, sunroof, sun roof, sun, drains, headliner, leak, leaks, known","water, roof, sunroof, sun roof, sun, drains, headliner, leak, leaks, known"
14,"steering, clock, horn, clock spring, wheel, steering wheel, spring, airbag, air bag, bag","steering, clock, horn, clock spring, wheel, steering wheel, spring, airbag, air bag, bag"
15,"clutch, stop, stall, stalls, neutral, engine, gear, coming stop, stalling, traffic","clutch, stop, stall, stalls, neutral, engine, gear, coming stop, stalling, traffic"
16,"sunroof, water, panoramic, interior, leak, headliner, leaking, seal, pillar, rain","sunroof, water, panoramic, interior, leak, headliner, leaking, seal, pillar, rain"
17,"fuel, gas, smell, tank, se, pump, leak, fuel tank, strong, leaking","fuel, gas, smell, tank, se, pump, leak, fuel tank, strong, leaking"
18,"glass, sunroof, exploded, explosion, loud, mirror, vehicles, object, impact, closed","glass, sunroof, exploded, explosion, loud, mirror, vehicles, object, impact, closed"
19,"engine, power, lost, turned, lost power, lane, shut, stopped, turbo, coil","engine, power, lost, turned, lost power, lane, shut, stopped, turbo, coil"
