topic,engine_spec,count,pct_of_topic
1,unknown,125,86.8
1,TDI_unknown,16,11.1
1,2.0_TSI,2,1.4
1,TSI_unknown,1,0.7
2,unknown,91,79.8
2,TDI_unknown,13,11.4
2,2.0_TSI,10,8.8
3,TDI_unknown,50,51.0
3,unknown,46,46.9
3,2.0_TSI,2,2.0
4,unknown,74,97.4
4,TDI_unknown,1,1.3
4,2.0_TSI,1,1.3
5,unknown,67,91.8
5,TDI_unknown,3,4.1
5,2.0_TSI,3,4.1
6,unknown,62,93.9
6,TDI_unknown,4,6.1
7,unknown,45,81.8
7,2.0_TSI,10,18.2
8,unknown,64,92.8
8,2.0_TSI,4,5.8
8,TDI_unknown,1,1.4
9,unknown,45,90.0
9,2.0_TSI,4,8.0
9,TDI_unknown,1,2.0
10,unknown,40,83.3
10,TDI_unknown,4,8.3
10,2.0_TSI,4,8.3
11,unknown,48,100.0
12,unknown,40,88.9
12,TDI_unknown,3,6.7
12,2.0_TSI,2,4.4
13,unknown,39,90.7
13,TDI_unknown,3,7.0
13,2.0_TSI,1,2.3
14,unknown,33,82.5
14,2.0_TSI,5,12.5
14,TDI_unknown,2,5.0
15,unknown,29,64.4
15,2.0_TSI,16,35.6
16,unknown,52,98.1
16,TDI_unknown,1,1.9
17,unknown,36,90.0
17,2.0_TSI,4,10.0
18,unknown,42,91.3
18,TDI_unknown,3,6.5
18,2.0_TSI,1,2.2
19,unknown,33,91.7
19,2.0_TSI,3,8.3
20,unknown,30,93.8
20,TDI_unknown,2,6.2
21,unknown,34,100.0
22,unknown,30,61.2
22,2.0_TSI,18,36.7
22,TDI_unknown,1,2.0
23,unknown,31,100.0
24,unknown,15,44.1
24,2.0_TSI,15,44.1
24,TDI_unknown,4,11.8
25,unknown,29,100.0
26,unknown,28,90.3
26,TDI_unknown,3,9.7
27,unknown,20,76.9
27,2.0_TSI,5,19.2
27,TDI_unknown,1,3.8
28,unknown,28,87.5
28,TDI_unknown,4,12.5
29,unknown,35,94.6
29,TDI_unknown,2,5.4
30,unknown,27,93.1
30,2.0_TSI,2,6.9
31,unknown,25,86.2
31,TDI_unknown,2,6.9
31,2.0_TSI,2,6.9
32,TDI_unknown,26,66.7
32,unknown,13,33.3
33,unknown,24,80.0
33,2.0_TSI,4,13.3
33,TDI_unknown,2,6.7
34,unknown,26,100.0
35,unknown,22,100.0
36,unknown,18,85.7
36,2.0_TSI,3,14.3
37,unknown,28,87.5
37,2.0_TSI,4,12.5
38,unknown,24,96.0
38,2.0_TSI,1,4.0
39,unknown,26,89.7
39,2.0_TSI,2,6.9
39,TDI_unknown,1,3.4
40,unknown,30,96.8
40,TDI_unknown,1,3.2
41,unknown,30,100.0
42,unknown,22,100.0
43,2.0_TSI,19,73.1
43,unknown,6,23.1
43,TDI_unknown,1,3.8
44,unknown,18,75.0
44,2.0_TSI,5,20.8
44,TDI_unknown,1,4.2
45,unknown,19,100.0
46,unknown,14,77.8
46,TDI_unknown,4,22.2
47,unknown,21,100.0
48,unknown,18,94.7
48,2.0_TSI,1,5.3
