doc_name,model_year,dominant_topic,topic_gamma,engine_spec,prod_year,source,component,technical_score,gamma_vector
doc_00001,2000,24,1.0,unknown,2013,nhtsa_recall,ENGINE AND ENGINE COOLING:ENGINE,6,"[9.070530987376517e-308, 4.221988059145537e-308, 8.753595113731132e-308, 3.052157831822579e-308, 6.774068653286767e-308, 3.1690522028691642e-308, 3.6481108984769447e-308, 1.3690281657951277e-307, 2.52668990001923e-308, 2.450942432920139e-308, 2.305730266888883e-308, 3.100908116856014e-308, 3.819189645282688e-308, 5.236291652817673e-308, 2.0819341710403396e-307, 3.376755260126671e-308, 3.7148013302235104e-308, 3.525451352392358e-308, 8.801658432442726e-308, 7.307538849568719e-308, 9.674636418568945e-308, 2.0275769814922152e-307, 2.9274860800724775e-308, 1.0, 3.274581253268825e-308, 3.2124862999364995e-308, 3.2670134199686783e-308, 3.784426917738752e-308, 5.194059359292621e-308, 2.4770004471753215e-308, 4.794131917940157e-308, 1.0410449645429108e-307, 4.3354871515571645e-308, 4.911105333865686e-308, 2.9901590866897097e-308, 3.3298337668720606e-308, 4.992879503431851e-308, 4.718048518890915e-308, 4.516375880723458e-308, 5.540043067576614e-308, 3.405885316484057e-308, 6.747175234024621e-308, 4.352386521739013e-308, 4.1869739558641066e-308, 7.725952805896415e-308, 3.724001551961726e-308, 3.830924475972082e-308, 1.551905807821018e-307]"
doc_00002,2000,22,0.0007504044707456241,unknown,2009,nhtsa_recall,EXTERIOR LIGHTING,0,"[0.0011595327118077729, 0.0011098689893115313, 0.0007425956248215804, 0.0009018697076956744, 0.000827556445510275, 0.0011230323902993015, 0.0014131457163912816, 0.0008220457163393841, 0.001688708718689972, 0.0016527970036594494, 0.0013961183736823115, 0.003423451365188185, 0.0008386031108226683, 0.0010206231333200406, 0.0007599946917882785, 0.0009966468638823497, 0.0013794576008471235, 0.0022179542142190213, 0.0007826976594709493, 0.001007680678661422, 0.0007777845732868234, 0.0007504044707456241, 0.001006686303925001, 0.0007056798591624987, 0.0021086590500386136, 0.0010540466487561442, 0.0008172544985679425, 0.0015119804691128176, 0.0012537731026846482, 0.001515780092538753, 0.0008557560908389584, 0.0008528382674066307, 0.0014416192308508377, 0.0011195093635875198, 0.0015976023752607336, 0.001401263469954228, 0.0009358353399935264, 0.0009950686548179813, 0.0009529301080467404, 0.001038880736026727, 0.0015125300848385836, 0.0009273705497231822, 0.0009261625425765013, 0.0012452500214163024, 0.0007534528061367716, 0.0010561809623724913, 0.0013896182966944644, 0.0007630931164668633]"
doc_00003,2000,22,0.0007504399436066802,unknown,2009,nhtsa_recall,EXTERIOR LIGHTING:HEADLIGHTS,0,"[0.0011595401092665684, 0.001109895493305198, 0.0007426374786490532, 0.0009019064601188253, 0.0008275962484018768, 0.0011230582583712453, 0.0014131348249566595, 0.0008220799855193882, 0.0016887639650648228, 0.0016529013575510782, 0.001396268236759476, 0.00342261488598019, 0.0008386385129493444, 0.0010206389547834324, 0.0007600319337101052, 0.0009966760295851474, 0.0013794418048181391, 0.0022177094792691352, 0.0007827422457571717, 0.0010077022356187394, 0.0007778237468010076, 0.0007504399436066802, 0.0010067234569708992, 0.0007057180294685895, 0.002108495708734783, 0.0010540739406485961, 0.0008172951026510214, 0.0015119305716929559, 0.001253770658935653, 0.0015159059743788859, 0.0008557853210522236, 0.0008528751121810093, 0.0014415887429722594, 0.001119512287525003, 0.0015975974600461115, 0.001401249310640392, 0.0009358779677636859, 0.0009950875317707734, 0.000952969531119747, 0.0010389053360114304, 0.0015124928523403882, 0.0009274076120333494, 0.0009262037995654657, 0.0012452481731440488, 0.0007534984844624821, 0.001056199644048749, 0.0013896050787308143, 0.0007631319225038841]"
doc_00004,2000,24,0.052594209476126655,unknown,2005,nhtsa_recall,"FUEL SYSTEM, GASOLINE:DELIVERY:FUEL PUMP",9,"[0.009067796232428146, 0.0039421757448525226, 0.008686985461768517, 0.002673077392587058, 0.0066540905539914695, 0.0028104075149463204, 0.0033027992671397902, 0.015304463346457934, 0.0022183309539633065, 0.0021460339101874834, 0.002009344411516609, 0.0027821185558952423, 0.003330080407496569, 0.004651004716721321, 0.027955361800580024, 0.0029771239983167274, 0.003361204257463994, 0.003193670336203251, 0.007953235323378058, 0.007034282238569033, 0.010167482609495938, 0.016067407787648806, 0.0025727004255592964, 0.052594209476126655, 0.0029563407142437293, 0.0028180451670296574, 0.0028482826487823496, 0.0034145298755200223, 0.004855681686135088, 0.0021627251606290065, 0.004194896891447619, 0.01066857438533441, 0.003979065167807119, 0.004437137921042944, 0.002632286322668795, 0.003004587960706952, 0.004716504821082607, 0.00418301508667035, 0.004264286447147081, 0.005308075969168354, 0.0030232526907397585, 0.006640181553004536, 0.004094088310731905, 0.0038097244773372964, 0.006875714634623927, 0.003277629943520438, 0.0034926264522728402, 0.018595500262877394]"
doc_00005,2000,25,0.28493513158978506,unknown,2007,nhtsa_recall,EXTERIOR LIGHTING:BRAKE LIGHTS:SWITCH,4,"[0.015223869545665496, 0.010847855378080149, 0.006057420632801919, 0.0069792774139816995, 0.006992421565187073, 0.009691515779126319, 0.017109227350094753, 0.006878488834416854, 0.00806830232405675, 0.0071307191790466445, 0.005866374155791603, 0.028392958098236665, 0.006481076133607864, 0.008753001572981386, 0.006091068621641024, 0.00846812100814361, 0.023153329559947585, 0.07512994453902068, 0.0060340510249091645, 0.00891514355540837, 0.006286018599906153, 0.005881147180673793, 0.007772464447077864, 0.00543049270232646, 0.28493513158978506, 0.008126679914932653, 0.006069783460754395, 0.027431428884355236, 0.015533157396240884, 0.006582951760771604, 0.006952797582967434, 0.007593581300798019, 0.028123227635231778, 0.011571685890274517, 0.00968047748443512, 0.011144359688018024, 0.007834786534062908, 0.008456250336323943, 0.008757441449024416, 0.01010783825051213, 0.012297863806084908, 0.007959510159258769, 0.008413418534782283, 0.014668533940232107, 0.005704213313263024, 0.008686275703623712, 0.021639018220235732, 0.006139816456059799]"
doc_00006,2000,25,1.0,unknown,2005,nhtsa_recall,EXTERIOR LIGHTING:HAZARD FLASHING WARNING LIGHTS:SWITCH,0,"[8.839347197715054e-308, 6.666322188225262e-308, 3.686244959381453e-308, 4.27713519392725e-308, 4.2706419819136923e-308, 6.044356572277859e-308, 1.0816142154774863e-307, 4.1316707993336437e-308, 5.031684268645121e-308, 4.452717948326414e-308, 3.6601734944984833e-308, 1.8908004930586023e-307, 3.978856133372051e-308, 5.233326182640277e-308, 3.68146989271586e-308, 5.148585716663099e-308, 1.3129803052056786e-307, 3.614757701162991e-307, 3.6752414470389214e-308, 5.344119336545971e-308, 3.827082771277531e-308, 3.556820495682493e-308, 4.811284928791779e-308, 3.2956034426455933e-308, 1.0, 4.953522317196305e-308, 3.759239082931461e-308, 1.430925859303606e-307, 9.162596740388049e-308, 4.0904869438635983e-308, 4.20766812405435e-308, 4.572550434422462e-308, 1.5495539767221293e-307, 6.757475311941156e-308, 5.952923292136429e-308, 6.937788762360548e-308, 4.853536669958983e-308, 5.084618164991998e-308, 5.376041095603914e-308, 6.121203199333697e-308, 7.439731172841622e-308, 4.877446834692689e-308, 5.158505199470185e-308, 8.869638750777989e-308, 3.484549472589874e-308, 5.231529740207701e-308, 1.3086560985801082e-307, 3.7243276806785795e-308]"
doc_00007,2000,14,0.07715792047726072,unknown,2000,nhtsa_recall,SUSPENSION:FRONT:CONTROL ARM:UPPER ARM,1,"[0.008972399069570976, 0.006487475577588806, 0.004900204115251888, 0.010196147218478814, 0.005471370381261091, 0.010423732651214624, 0.008524937471597133, 0.006715319122320685, 0.00581940322770221, 0.005088477049471494, 0.004174955969329953, 0.006435960246663203, 0.013372340158284654, 0.07715792047726072, 0.0059271036559440955, 0.013003860932358875, 0.008805901854604975, 0.007504145059769328, 0.005026865717034949, 0.010051694970823378, 0.005587480522933803, 0.007347919236447184, 0.009555190742450871, 0.0057873497069646455, 0.006862819248089567, 0.0131891660446123, 0.009543699411729277, 0.00948496056912162, 0.00931533943821305, 0.004664093559052008, 0.02164367380950186, 0.006093966973677227, 0.009187129075632145, 0.027163664927015208, 0.00951716597022981, 0.007455133672395134, 0.005458457956557914, 0.10984845290371281, 0.005385129485438143, 0.007258763528830037, 0.014299639299957338, 0.0063253739292256994, 0.005168207843310709, 0.012649375303626137, 0.004727996740158724, 0.023190610927566083, 0.008572306077493815, 0.005679749315961791]"
doc_00008,2000,26,0.20476028514326072,unknown,2002,nhtsa_recall,EQUIPMENT:OTHER:OWNERS/SERVICE/OTHER MANUAL,0,"[0.004457044485078102, 0.003346748595004637, 0.0024902240842303203, 0.015091927612291165, 0.0026997161903334265, 0.00797881200821789, 0.004609501485423701, 0.003111193522879946, 0.004582840862308981, 0.00373552296253361, 0.0029254910300772464, 0.003971517511692533, 0.007135434000090409, 0.007944145598998396, 0.00283352854142373, 0.017122016060737526, 0.005469625166789548, 0.0043326238819709085, 0.0025420563436488403, 0.0039723988194851735, 0.002695250075542099, 0.0032806601023006705, 0.012464953791538929, 0.002768536840575392, 0.004193627587212816, 0.20476028514326072, 0.0064361172447687555, 0.005684346619065317, 0.004247041732196129, 0.0032502123999282057, 0.00721050384085409, 0.0029555986061374105, 0.0050268872156682045, 0.007529171280058597, 0.008555785985904589, 0.004198171679119108, 0.0027342420627873574, 0.008679877185176597, 0.002847393760046868, 0.0034074915671282926, 0.010718333209951261, 0.002987947491594561, 0.002757067391131179, 0.00605575546534838, 0.002428773165013944, 0.03476871619260724, 0.004828075983848169, 0.002737831756275989]"
doc_00009,2001,24,1.0,unknown,2013,nhtsa_recall,ENGINE AND ENGINE COOLING:ENGINE,6,"[9.012335040843988e-308, 4.2025226696755567e-308, 8.674142864904116e-308, 3.052551826083627e-308, 6.714709859949883e-308, 3.16675824992852e-308, 3.6409203401146553e-308, 1.3506890233593113e-307, 2.526555164288962e-308, 2.451208251740505e-308, 2.3066529728643127e-308, 3.096728042025288e-308, 3.820632447735566e-308, 5.23561781534466e-308, 2.0306347146576104e-307, 3.3762908157463726e-308, 3.7086921078995723e-308, 3.518910174988687e-308, 8.787377786619914e-308, 7.268504677840886e-308, 9.547331431077474e-308, 2.0450682408308703e-307, 2.9271625731046114e-308, 1.0, 3.269005416692169e-308, 3.213086194487883e-308, 3.2677989412410033e-308, 3.7794508257011207e-308, 5.176042565350176e-308, 2.4778554051374854e-308, 4.796040299696827e-308, 1.0323845696010695e-307, 4.3249368849587893e-308, 4.904627207244514e-308, 2.989927934501007e-308, 3.3225946447061554e-308, 4.96476521150959e-308, 4.716802836128568e-308, 4.491494035797506e-308, 5.507454845349269e-308, 3.404143940518505e-308, 6.6918099891751e-308, 4.329577132780626e-308, 4.17771132172872e-308, 7.717459077784127e-308, 3.7244573847817144e-308, 3.8219639867547496e-308, 1.5211450401082333e-307]"
doc_00010,2001,22,0.0007502997192745438,unknown,2009,nhtsa_recall,EXTERIOR LIGHTING,0,"[0.0011595667998903865, 0.0011098756448721227, 0.0007425002755240219, 0.0009017060640061999, 0.0008274803253890473, 0.0011229157509000788, 0.0014132438039156528, 0.0008219628296892273, 0.001688198010297075, 0.0016521302299052456, 0.0013954249833186007, 0.003426420867358363, 0.0008384647790747118, 0.0010205465771517437, 0.0007599001239235348, 0.0009965085535755109, 0.0013795505860304256, 0.0022189119897715794, 0.0007825871296326029, 0.0010076486900393272, 0.0007776971029974017, 0.0007502997192745438, 0.001006509745451742, 0.0007055730086616018, 0.002109383060083994, 0.0010538855774678208, 0.0008170969840914298, 0.0015121602711987104, 0.001253855020091486, 0.0015151388096843537, 0.0008556433148187346, 0.0008527687453634215, 0.0014417920797232897, 0.0011194935759569792, 0.0015973625681637092, 0.001401340880272577, 0.000935773287556746, 0.0009949821062467073, 0.0009528834956754289, 0.001038871162323783, 0.0015125100728655356, 0.0009273145635724657, 0.0009261076590349905, 0.0012452786974515631, 0.0007533372890168759, 0.0010560632956178137, 0.0013897250923581522, 0.0007630006029491572]"
