topic,terms_prob,terms_ctfidf
1,"oil, engine, stated, mileage, owns, tl owns, tl, accelerator, 000, miles","oil, engine, stated, mileage, owns, tl owns, tl, accelerator, 000, miles"
2,"transmission, gear, shift, manual, dsg, clutch, neutral, knob, manual transmission, speed","transmission, gear, shift, manual, dsg, clutch, neutral, knob, manual transmission, speed"
3,"fuel, diesel, pump, fuel pump, high pressure, high, pressure fuel, pressure, hpfp, tdi","fuel, diesel, pump, fuel pump, high pressure, high, pressure fuel, pressure, hpfp, tdi"
4,"deployed, air, airbags, deploy, bags, passenger, air bags, bag, air bag, hit","deployed, air, airbags, deploy, bags, passenger, air bags, bag, air bag, hit"
5,"fuel, fuel pump, pump, engine, pressure fuel, high pressure, high, pressure, lost, glow","fuel, fuel pump, pump, engine, pressure fuel, high pressure, high, pressure, lost, glow"
6,"clock, spring, clock spring, horn, steering, wheel, steering wheel, airbag, cruise, cruise control","clock, spring, clock spring, horn, steering, wheel, steering wheel, airbag, cruise, cruise control"
7,"infotainment, camera, assist, protection, systems, issues, features, component, backup, does","infotainment, camera, assist, protection, systems, issues, features, component, backup, does"
8,"fuel, owns, stated, gasoline, mileage, tl, aware, tl owns, repaired, campaign","fuel, owns, stated, gasoline, mileage, tl, aware, tl owns, repaired, campaign"
9,"window, windows, door, regulator, power window, passenger window, driver window, ak, passenger, window regulator","window, windows, door, regulator, power window, passenger window, driver window, ak, passenger, window regulator"
10,"sunroof, glass, shattered, exploded, mirror, explosion, loud, object, road, outward","sunroof, glass, shattered, exploded, mirror, explosion, loud, object, road, outward"
11,"water, sunroof, roof, panoramic, headliner, leaks, sun, sun roof, leak, drains","water, sunroof, roof, panoramic, headliner, leaks, sun, sun roof, leak, drains"
12,"fuse, headlights, headlight, bulb, beam, lights, exterior, adjustment, box, fuse box","fuse, headlights, headlight, bulb, beam, lights, exterior, adjustment, box, fuse box"
13,"takata, airbag, received, available, parts, number, parts available, experienced vin, notice, reasonable","takata, airbag, received, available, parts, number, parts available, experienced vin, notice, reasonable"
14,"suspension, coil, 2019, spring, springs, coil springs, coil spring, rear, noise, rear coil","suspension, coil, 2019, spring, springs, coil springs, coil spring, rear, noise, rear coil"
15,"gas, tank, fuel, gas tank, suction, canister, suction pump, fuel tank, pump, leaking","gas, tank, fuel, gas tank, suction, canister, suction pump, fuel tank, pump, leaking"
16,"airbag, bag, air, air bag, airbags, warning light, seatbelt, stated, airbag light, latch","airbag, bag, air, air bag, airbags, warning light, seatbelt, stated, airbag light, latch"
17,"abs, control, stability control, module, stability, electronic, brakes, electronic stability, lights, control module","abs, control, stability control, module, stability, electronic, brakes, electronic stability, lights, control module"
18,"brake, brake light, switch, light switch, brake lights, lights, wiring, electrical, 2001, park","brake, brake light, switch, light switch, brake lights, lights, wiring, electrical, 2001, park"
19,"coolant, water pump, thermostat, housing, water, radiator, thermostat housing, pump, leak, engine","coolant, water pump, thermostat, housing, water, radiator, thermostat housing, pump, leak, engine"
20,"seat, smoke, heater, burning, caught, heated, seat heater, electrical, burnt, burned","seat, smoke, heater, burning, caught, heated, seat heater, electrical, burnt, burned"
21,"fuel, smell, gas, tank, se, strong, pump, leaking, leak, fuel leaking","fuel, smell, gas, tank, se, strong, pump, leaking, leak, fuel leaking"
22,"owners, 11, requirements, lamps, notify owners, notify, crash, 2016, recalling, shift lever","owners, 11, requirements, lamps, notify owners, notify, crash, 2016, recalling, shift lever"
23,"airbag, seatbelt, seat, bag light, sensor, air bag, bag, air, sister, seat belt","airbag, seatbelt, seat, bag light, sensor, air bag, bag, air, sister, seat belt"
24,"audi, owners, 2015, certain, timing, fuel, a3, sportwagen, 2013, 2020","audi, owners, 2015, certain, timing, fuel, a3, sportwagen, 2013, 2020"
25,"signal, switch, turn signal, hazard, light switch, brake, brake light, turn, flasher, 2007","signal, switch, turn signal, hazard, light switch, brake, brake light, turn, flasher, 2007"
26,"belt, seat, seat belt, tensioner, ac, rear seat, rear, belts, buckle, rear passenger","belt, seat, seat belt, tensioner, ac, rear seat, rear, belts, buckle, rear passenger"
27,"2014, air bag, frontal, frontal air, bag, driver frontal, air, 2010, owners, customer 800","2014, air bag, frontal, frontal air, bag, driver frontal, air, 2010, owners, customer 800"
28,"brake, brakes, wear, rear, rotors, rear brake, rear brakes, backing, premature, sticking","brake, brakes, wear, rear, rotors, rear brake, rear brakes, backing, premature, sticking"
29,"error, computer, charging, power, ignition, driven, told, electrical, engine, alternator","error, computer, charging, power, ignition, driven, told, electrical, engine, alternator"
30,"water, sunroof, leak, headliner, drain, rain, known, roof, interior, drains","water, sunroof, leak, headliner, drain, rain, known, roof, interior, drains"
31,"tire, tires, sidewall, low, tire pressure, rim, wheels, wheel, bent, did","tire, tires, sidewall, low, tire pressure, rim, wheels, wheel, bent, did"
32,"turbo, tdi, intercooler, diesel, stall, engine, fuel, 2010, gave, oil","turbo, tdi, intercooler, diesel, stall, engine, fuel, 2010, gave, oil"
33,"brake, pedal, brake pedal, brakes, hill, feature, waiting, fluid, brake fluid, assist","brake, pedal, brake pedal, brakes, hill, feature, waiting, fluid, brake fluid, assist"
34,"axle, hose, replaced, caliper, rear axle, froze, bearing, steering, bolts, rear","axle, hose, replaced, caliper, rear axle, froze, bearing, steering, bolts, rear"
35,"hood, latch, windshield, strut, broke, work, glove box, locking, glove, bar","hood, latch, windshield, strut, broke, work, glove box, locking, glove, bar"
36,"trim, sharp, cut, shifter, piece, hand, gear shift, dsg, edge, shift","trim, sharp, cut, shifter, piece, hand, gear shift, dsg, edge, shift"
37,"epc, epc light, check engine, engine, engine light, check, light come, manifold, throttle, times","epc, epc light, check engine, engine, engine light, check, light come, manifold, throttle, times"
38,"spring, suspension, coil, coil spring, rear coil, rear, control arm, spring broke, grab, handle","spring, suspension, coil, coil spring, rear coil, rear, control arm, spring broke, grab, handle"
39,"stalls, stop, clutch, neutral, coming stop, gear, coming, stall, engine stalls, stop clutch","stalls, stop, clutch, neutral, coming stop, gear, coming, stall, engine stalls, stop clutch"
40,"engine, started, start, key, turned, 4th, shut, died, 4th gear, red light","engine, started, start, key, turned, 4th, shut, died, 4th gear, red light"
41,"door, lock, doors, locks, driver door, latch, squeaking, close, door locks, keys","door, lock, doors, locks, driver door, latch, squeaking, close, door locks, keys"
42,"went, sensor, check light, ak, engine check, light went, listed ak, summary, check, map","went, sensor, check light, ak, engine check, light went, listed ak, summary, check, map"
