doc_name,dominant_topic,topic_gamma
doc_00001,1,0.38929096
doc_00002,1,0.36070013
doc_00003,14,0.23067044
doc_00004,9,0.35334393
doc_00005,11,0.17024295
doc_00006,1,0.53197265
doc_00007,1,0.50909954
doc_00008,11,0.2354394
doc_00009,2,0.26350674
doc_00010,12,0.20990579
doc_00011,5,0.14881808
doc_00012,1,0.29885027
doc_00013,5,0.16082752
doc_00014,11,0.31767225
doc_00015,4,0.11807632
doc_00016,1,0.3793885
doc_00017,13,0.26240826
doc_00018,12,0.095157556
doc_00019,2,0.3428217
doc_00020,1,0.40934652
doc_00021,1,0.1949885
doc_00022,6,0.23094173
doc_00023,10,0.23844905
doc_00024,6,0.18261977
doc_00025,8,0.11042456
doc_00026,14,0.1512051
doc_00027,6,0.12713352
doc_00028,12,0.33692056
doc_00029,1,0.27322358
doc_00030,1,0.21505769
doc_00031,4,0.43971983
doc_00032,1,0.31902373
doc_00033,1,0.40559372
doc_00034,3,0.12017785
doc_00035,1,0.5250837
doc_00036,14,0.09933558
doc_00037,13,0.10724778
doc_00038,2,0.27752522
doc_00039,5,0.3211175
doc_00040,1,0.5497145
doc_00041,13,0.42189854
doc_00042,12,0.19027652
doc_00043,10,0.13848294
doc_00044,1,0.34095797
doc_00045,12,0.12341403
doc_00046,1,0.5264959
doc_00047,1,0.20896396
doc_00048,5,0.1776576
doc_00049,14,0.27171716
doc_00050,13,0.31362653
doc_00051,12,0.64420104
doc_00052,1,0.2844605
doc_00053,9,0.44019815
doc_00054,13,0.3342731
doc_00055,13,0.18602674
doc_00056,1,0.50788504
doc_00057,12,0.10853121
doc_00058,2,0.3353587
doc_00059,9,0.32524833
doc_00060,4,0.13928753
doc_00061,10,0.26882163
doc_00062,13,0.48129755
doc_00063,1,0.5152696
doc_00064,1,0.28850853
doc_00065,14,0.25594103
doc_00066,1,0.4551651
doc_00067,5,0.20809661
doc_00068,12,0.5522335
doc_00069,13,0.2258554
doc_00070,2,0.34981766
doc_00071,1,0.47694132
doc_00072,1,0.58787113
doc_00073,5,0.19697379
doc_00074,2,0.26217532
doc_00075,1,0.49196666
doc_00076,1,0.52409905
doc_00077,14,0.10129952
doc_00078,13,0.13216893
doc_00079,2,0.15936099
doc_00080,10,0.2999152
doc_00081,13,0.29257235
doc_00082,10,0.138707
doc_00083,10,0.42127767
doc_00084,12,0.23951373
doc_00085,5,0.30548942
doc_00086,1,0.19394235
doc_00087,1,0.50420076
doc_00088,2,0.24968024
doc_00089,2,0.22970732
doc_00090,1,0.4459202
doc_00091,2,0.32395387
doc_00092,2,0.3822887
doc_00093,1,0.4384233
doc_00094,10,0.27017948
doc_00095,1,0.4605109
doc_00096,1,0.1928566
doc_00097,1,0.4061485
doc_00098,1,0.5168405
doc_00099,1,0.60962576
doc_00100,1,0.47713566
doc_00101,1,0.557718
doc_00102,2,0.20178543
doc_00103,3,0.18042336
doc_00104,4,0.23515983
doc_00105,2,0.19906455
doc_00106,1,0.40735656
doc_00107,1,0.461158
doc_00108,4,0.12822911
doc_00109,10,0.5376134
doc_00110,1,0.49193618
doc_00111,5,0.24428345
doc_00112,1,0.42161494
doc_00113,1,0.26732165
doc_00114,1,0.4472597
doc_00115,4,0.16906387
doc_00116,1,0.5528495
doc_00117,1,0.50097895
doc_00118,1,0.45330375
doc_00119,1,0.45547366
doc_00120,1,0.60437465
doc_00121,8,0.14128652
doc_00122,4,0.13013983
doc_00123,12,0.2798673
doc_00124,5,0.10505449
doc_00125,1,0.35519922
doc_00126,4,0.21383852
doc_00127,5,0.15309694
doc_00128,4,0.4717288
doc_00129,1,0.3066178
doc_00130,2,0.20215617
doc_00131,1,0.3834059
doc_00132,3,0.24417746
doc_00133,3,0.35401818
doc_00134,1,0.17086256
doc_00135,1,0.45732749
doc_00136,1,0.52343667
doc_00137,9,0.6363015
doc_00138,5,0.24987438
doc_00139,9,0.5236269
doc_00140,5,0.105631955
doc_00141,12,0.118850954
doc_00142,6,0.1756512
doc_00143,5,0.36839262
doc_00144,13,0.21699607
doc_00145,1,0.3651981
doc_00146,1,0.3015247
doc_00147,9,0.24544674
doc_00148,1,0.56990004
doc_00149,10,0.35928863
doc_00150,1,0.47100303
doc_00151,4,0.19526884
doc_00152,9,0.14670411
doc_00153,1,0.48540264
doc_00154,3,0.30260777
doc_00155,1,0.44079113
doc_00156,1,0.37764
doc_00157,14,0.34203038
doc_00158,8,0.14294894
doc_00159,1,0.24311759
doc_00160,1,0.44811112
doc_00161,12,0.16487369
doc_00162,5,0.111588866
doc_00163,1,0.39024043
doc_00164,6,0.10523808
doc_00165,5,0.10910573
doc_00166,11,0.12675522
doc_00167,1,0.10551637
doc_00168,1,0.30861685
doc_00169,6,0.29136696
doc_00170,8,0.35424572
doc_00171,2,0.18449013
doc_00172,4,0.09892668
doc_00173,8,0.22308296
doc_00174,9,0.24751
doc_00175,13,0.1485152
doc_00176,12,0.5230945
doc_00177,13,0.12190936
doc_00178,2,0.2234718
doc_00179,9,0.12152939
doc_00180,1,0.25389764
doc_00181,9,0.2668071
doc_00182,3,0.25794065
doc_00183,1,0.21599633
doc_00184,1,0.418717
doc_00185,3,0.15619399
doc_00186,4,0.19498795
doc_00187,10,0.17881677
doc_00188,1,0.39695716
doc_00189,4,0.25410834
doc_00190,1,0.43148595
doc_00191,1,0.5515862
doc_00192,13,0.09014985
doc_00193,2,0.3273583
doc_00194,1,0.29979128
doc_00195,1,0.11896599
doc_00196,8,0.3726753
doc_00197,1,0.31788927
doc_00198,1,0.4625747
doc_00199,1,0.18154797
doc_00200,9,0.59653217
doc_00201,14,0.45671964
doc_00202,1,0.1811136
doc_00203,2,0.17418972
doc_00204,12,0.2563045
doc_00205,3,0.10321357
doc_00206,9,0.3381384
doc_00207,2,0.12378506
doc_00208,14,0.42747253
doc_00209,1,0.3591401
doc_00210,13,0.2191081
doc_00211,1,0.40419605
doc_00212,4,0.25572592
doc_00213,9,0.45689
doc_00214,5,0.5036088
doc_00215,1,0.45917112
doc_00216,14,0.34030315
doc_00217,4,0.11104536
doc_00218,2,0.32394728
doc_00219,9,0.6016047
doc_00220,1,0.4490788
doc_00221,13,0.28642014
doc_00222,12,0.13972464
doc_00223,12,0.53014284
doc_00224,13,0.19959864
doc_00225,5,0.13834594
doc_00226,1,0.1037025
doc_00227,9,0.5162911
doc_00228,2,0.591404
doc_00229,6,0.13079646
doc_00230,1,0.58604234
doc_00231,8,0.106398806
doc_00232,5,0.13285574
doc_00233,2,0.11800947
doc_00234,2,0.6072046
doc_00235,3,0.21010345
doc_00236,2,0.30850476
doc_00237,9,0.2942312
doc_00238,12,0.11502387
doc_00239,5,0.1399162
doc_00240,13,0.13802446
doc_00241,1,0.39134228
doc_00242,2,0.43099973
doc_00243,2,0.31998906
doc_00244,1,0.20108089
doc_00245,13,0.09683932
doc_00246,2,0.4615292
doc_00247,2,0.5969183
doc_00248,2,0.25094423
doc_00249,2,0.55211735
doc_00250,2,0.3163191
doc_00251,2,0.4978232
doc_00252,2,0.35223225
doc_00253,2,0.34147027
doc_00254,1,0.48015597
doc_00255,1,0.26625746
doc_00256,8,0.10320372
doc_00257,2,0.15287799
doc_00258,6,0.12784038
doc_00259,1,0.10400053
doc_00260,2,0.30999994
doc_00261,2,0.2912176
doc_00262,1,0.20708682
doc_00263,3,0.23130271
doc_00264,8,0.10857408
doc_00265,4,0.15686265
doc_00266,9,0.53145885
doc_00267,1,0.26856458
doc_00268,4,0.14344652
doc_00269,6,0.19380143
doc_00270,12,0.21971528
doc_00271,2,0.43352777
doc_00272,13,0.23632592
doc_00273,8,0.1846405
doc_00274,2,0.26663277
doc_00275,5,0.18310459
doc_00276,1,0.38416544
doc_00277,2,0.26673576
doc_00278,8,0.10470688
doc_00279,1,0.17337021
doc_00280,1,0.47778115
doc_00281,5,0.13380297
doc_00282,13,0.5792816
doc_00283,1,0.15393274
doc_00284,5,0.09739907
doc_00285,5,0.20065965
doc_00286,9,0.15111691
doc_00287,1,0.20553815
doc_00288,10,0.16941139
doc_00289,5,0.12490789
doc_00290,3,0.17984247
doc_00291,4,0.22288892
doc_00292,6,0.12271078
doc_00293,1,0.10506782
doc_00294,5,0.15951571
doc_00295,2,0.32403982
doc_00296,1,0.12867166
doc_00297,3,0.18324566
doc_00298,2,0.2509949
doc_00299,6,0.15359442
doc_00300,13,0.22517452
doc_00301,8,0.5745662
doc_00302,1,0.45120695
doc_00303,2,0.19417858
doc_00304,1,0.5114271
doc_00305,1,0.5856294
doc_00306,2,0.48317215
doc_00307,2,0.2967202
doc_00308,1,0.37720507
doc_00309,8,0.30428424
doc_00310,13,0.31224763
doc_00311,5,0.1692576
doc_00312,2,0.17842999
doc_00313,13,0.11417708
doc_00314,13,0.27567557
doc_00315,2,0.58508897
doc_00316,1,0.2288897
doc_00317,6,0.20636156
doc_00318,12,0.28101373
doc_00319,8,0.5619199
doc_00320,1,0.50135165
doc_00321,13,0.13875128
doc_00322,6,0.26985887
doc_00323,6,0.12311874
doc_00324,1,0.30253816
doc_00325,10,0.1637077
doc_00326,5,0.17910917
doc_00327,8,0.17140175
doc_00328,8,0.16437893
doc_00329,1,0.4775307
doc_00330,11,0.09498291
doc_00331,1,0.43725142
doc_00332,4,0.09075559
doc_00333,9,0.3255241
doc_00334,2,0.23618774
doc_00335,12,0.16341859
doc_00336,9,0.5850237
doc_00337,12,0.12693137
doc_00338,12,0.1693929
doc_00339,14,0.22220407
doc_00340,14,0.342046
doc_00341,10,0.20487502
doc_00342,14,0.115646645
doc_00343,5,0.46161148
doc_00344,1,0.27105382
doc_00345,6,0.16406818
doc_00346,1,0.26017597
doc_00347,2,0.24341439
doc_00348,13,0.09382762
doc_00349,4,0.24222533
doc_00350,1,0.48791373
doc_00351,10,0.5782002
doc_00352,1,0.4456677
doc_00353,13,0.10587262
doc_00354,8,0.13428827
doc_00355,1,0.4094045
doc_00356,8,0.340822
doc_00357,8,0.22704077
doc_00358,8,0.1377086
doc_00359,6,0.358748
doc_00360,1,0.107066
doc_00361,10,0.2119231
doc_00362,1,0.3842384
doc_00363,1,0.46806514
doc_00364,1,0.54511684
doc_00365,2,0.16494668
doc_00366,2,0.29351607
doc_00367,3,0.30407408
doc_00368,1,0.16305979
doc_00369,2,0.114923544
doc_00370,1,0.24735297
doc_00371,5,0.09493587
doc_00372,8,0.35774654
doc_00373,5,0.20736758
doc_00374,13,0.14589067
doc_00375,2,0.27358407
doc_00376,6,0.20626576
doc_00377,1,0.30440494
doc_00378,8,0.28922662
doc_00379,2,0.27661604
doc_00380,4,0.12969552
doc_00381,4,0.121860206
doc_00382,1,0.15180567
doc_00383,6,0.11761905
doc_00384,6,0.20441023
doc_00385,11,0.16709994
doc_00386,1,0.4064076
doc_00387,4,0.2255511
doc_00388,12,0.15285173
doc_00389,2,0.50529337
doc_00390,6,0.10065513
doc_00391,4,0.09803272
doc_00392,14,0.3494453
doc_00393,1,0.37304202
doc_00394,9,0.20894216
doc_00395,1,0.52920496
doc_00396,1,0.5059185
doc_00397,1,0.2702551
doc_00398,1,0.3164534
doc_00399,14,0.20155182
doc_00400,1,0.38656074
doc_00401,10,0.09839265
doc_00402,4,0.23409477
doc_00403,1,0.4379717
doc_00404,8,0.22978897
doc_00405,1,0.42974356
doc_00406,1,0.5026207
doc_00407,1,0.5831263
doc_00408,1,0.22588317
doc_00409,1,0.58917147
doc_00410,1,0.42547348
doc_00411,2,0.54675674
doc_00412,1,0.13437533
doc_00413,1,0.1331225
doc_00414,2,0.26566708
doc_00415,8,0.095485136
doc_00416,1,0.5047233
doc_00417,10,0.15021919
doc_00418,4,0.11009401
doc_00419,5,0.24119784
doc_00420,5,0.30548975
doc_00421,5,0.17026517
doc_00422,1,0.44075787
doc_00423,12,0.20196539
doc_00424,5,0.30892405
doc_00425,4,0.27887297
doc_00426,14,0.15343913
doc_00427,5,0.23462632
doc_00428,1,0.40671661
doc_00429,5,0.29178315
doc_00430,5,0.45747194
doc_00431,12,0.13663296
doc_00432,5,0.14612705
doc_00433,12,0.2629735
doc_00434,5,0.42447576
doc_00435,3,0.34438834
doc_00436,12,0.21140833
doc_00437,13,0.15322466
doc_00438,14,0.12348019
doc_00439,12,0.25126383
doc_00440,5,0.1540413
doc_00441,3,0.22654201
doc_00442,13,0.119035326
doc_00443,14,0.09411426
doc_00444,9,0.10715468
doc_00445,5,0.3250447
doc_00446,8,0.16861065
doc_00447,1,0.10932353
doc_00448,5,0.27908936
doc_00449,5,0.12952363
doc_00450,5,0.09793332
doc_00451,8,0.22731416
doc_00452,9,0.10894515
doc_00453,12,0.17772278
doc_00454,5,0.16307536
doc_00455,1,0.19816245
doc_00456,6,0.20221722
doc_00457,5,0.2125879
doc_00458,5,0.28087842
doc_00459,5,0.11154477
doc_00460,8,0.23014206
doc_00461,1,0.48048505
doc_00462,5,0.3136776
doc_00463,13,0.3309974
doc_00464,5,0.09628724
doc_00465,5,0.13982245
doc_00466,5,0.2673573
doc_00467,2,0.22812851
doc_00468,2,0.38955063
doc_00469,10,0.1401418
doc_00470,14,0.23146895
doc_00471,12,0.10036595
doc_00472,12,0.08316608
doc_00473,5,0.1431354
doc_00474,12,0.121963605
doc_00475,1,0.11160974
doc_00476,14,0.09171602
doc_00477,12,0.42197874
doc_00478,12,0.20848063
doc_00479,4,0.13613741
doc_00480,1,0.13039824
doc_00481,3,0.24205719
doc_00482,1,0.12520996
doc_00483,5,0.15409939
doc_00484,13,0.19860919
doc_00485,8,0.1081195
doc_00486,1,0.10508116
doc_00487,14,0.19699311
doc_00488,14,0.19882151
doc_00489,12,0.1408338
doc_00490,1,0.33449617
doc_00491,5,0.16654395
doc_00492,10,0.3802974
doc_00493,12,0.29390875
doc_00494,8,0.20247303
doc_00495,5,0.14960063
doc_00496,4,0.2156732
doc_00497,12,0.6105664
doc_00498,8,0.16819814
doc_00499,2,0.32200325
doc_00500,1,0.26572984
doc_00501,13,0.17579143
doc_00502,12,0.17099082
doc_00503,5,0.3018646
doc_00504,3,0.103436545
doc_00505,3,0.103436574
doc_00506,12,0.2356011
doc_00507,8,0.12402931
doc_00508,5,0.15711947
doc_00509,1,0.3731556
doc_00510,1,0.44971344
doc_00511,1,0.5628184
doc_00512,6,0.13344151
doc_00513,12,0.21333653
doc_00514,12,0.38735592
doc_00515,3,0.5204091
doc_00516,1,0.37469664
doc_00517,12,0.11931427
doc_00518,6,0.6025089
doc_00519,1,0.20501041
doc_00520,1,0.44935367
doc_00521,5,0.08403176
doc_00522,9,0.40445605
doc_00523,9,0.59491026
doc_00524,9,0.6185183
doc_00525,5,0.27998787
doc_00526,5,0.23158589
doc_00527,1,0.16472496
doc_00528,8,0.103326894
doc_00529,10,0.28305072
doc_00530,8,0.14944306
doc_00531,14,0.3554777
doc_00532,5,0.30975333
doc_00533,4,0.35762915
doc_00534,9,0.14762056
doc_00535,1,0.5168254
doc_00536,2,0.31752262
doc_00537,8,0.18102713
doc_00538,13,0.16266532
doc_00539,9,0.31851265
doc_00540,5,0.25161502
doc_00541,5,0.18918489
doc_00542,1,0.35605097
doc_00543,6,0.30238122
doc_00544,3,0.18188737
doc_00545,1,0.38832906
doc_00546,8,0.10283981
doc_00547,2,0.6289353
doc_00548,5,0.18148631
doc_00549,6,0.12839152
doc_00550,5,0.13486204
doc_00551,13,0.31472465
doc_00552,13,0.14037035
doc_00553,6,0.113445
doc_00554,1,0.49067172
doc_00555,12,0.2797286
doc_00556,2,0.5857161
doc_00557,9,0.22164422
doc_00558,1,0.269538
doc_00559,4,0.099211425
doc_00560,1,0.40024132
doc_00561,9,0.38452038
doc_00562,3,0.12954223
doc_00563,1,0.36216396
doc_00564,9,0.56117916
doc_00565,9,0.46832085
doc_00566,1,0.4352433
doc_00567,2,0.30521616
doc_00568,2,0.17025857
doc_00569,4,0.6061313
doc_00570,9,0.3876588
doc_00571,1,0.40131092
doc_00572,2,0.33201417
doc_00573,1,0.5156265
doc_00574,10,0.0954867
doc_00575,3,0.44695488
doc_00576,3,0.12057923
doc_00577,6,0.121764176
doc_00578,2,0.4104996
doc_00579,3,0.120565414
doc_00580,1,0.34713426
doc_00581,9,0.46273637
doc_00582,3,0.54436135
doc_00583,3,0.38201907
doc_00584,3,0.37798017
doc_00585,1,0.23982413
doc_00586,1,0.45925447
doc_00587,3,0.2968175
doc_00588,3,0.1110903
doc_00589,13,0.092912905
doc_00590,5,0.12578128
doc_00591,2,0.18622258
doc_00592,3,0.12650058
doc_00593,1,0.43063033
doc_00594,1,0.5305549
doc_00595,4,0.2541484
doc_00596,9,0.23719607
doc_00597,14,0.13732967
doc_00598,10,0.14945857
doc_00599,2,0.15535223
doc_00600,1,0.5005438
doc_00601,5,0.42498246
doc_00602,2,0.41479588
doc_00603,9,0.3682731
doc_00604,1,0.25363785
doc_00605,9,0.27310458
doc_00606,1,0.4284055
doc_00607,8,0.16463664
doc_00608,1,0.47090957
doc_00609,2,0.27014294
doc_00610,1,0.12025691
doc_00611,1,0.33792475
doc_00612,8,0.23766339
doc_00613,1,0.30669028
doc_00614,1,0.44993567
doc_00615,1,0.42405266
doc_00616,1,0.44896713
doc_00617,9,0.3872806
doc_00618,1,0.29240793
