doc_name,thread_name,thread_url,dominant_topic,topic_gamma,displacement,fuel_type,year,mileage_km,mileage_bucket,engine_group,technical_bucket,chronic_score,n_messages,gamma_vector
doc_00001,(COZULDU) Golf 7 Direksiyonun Altindan Gelen Zirilti Trim Sesi,https://www.golftutkusu.com/topic/24669-cozuldu-golf-7-direksiyonun-altindan-gelen-zirilti-trim-sesi,19,0.981436996049596,1.2,petrol,NA,100000,90-120k,1.2_TSI,high,1,15,"[0.000343, 0.003184, 0.000148, 0.001035, 0.000170, 0.000419, 0.000135, 0.000382, 0.000478, 0.000826, 0.001665, 0.000092, 0.000463, 0.000531, 0.001416, 0.001620, 0.000237, 0.003214, 0.981437, 0.002205]"
doc_00002,(Cozuldu )Yagmur Sensoru Silecek Durmuyor,https://www.golftutkusu.com/topic/9630-cozuldu-yagmur-sensoru-silecek-durmuyor,3,0.7630756888103551,NA,unknown,NA,NA,unknown,unknown,high,3,34,"[0.001342, 0.000524, 0.763076, 0.000590, 0.222768, 0.001009, 0.000716, 0.000530, 0.000895, 0.000175, 0.000795, 0.000428, 0.000667, 0.001585, 0.000545, 0.001342, 0.000683, 0.001163, 0.000656, 0.000512]"
doc_00003,(Cozuldu) Aku sarj edilmiyor,https://www.golftutkusu.com/topic/22190-cozuldu-aku-sarj-edilmiyor,11,0.983677816080881,NA,unknown,NA,NA,unknown,unknown,medium,0,17,"[0.001000, 0.000067, 0.000769, 0.000990, 0.002041, 0.000988, 0.001270, 0.000631, 0.000867, 0.000072, 0.983678, 0.000677, 0.000603, 0.002449, 0.000147, 0.000785, 0.001110, 0.001084, 0.000664, 0.000106]"
doc_00004,(Cozuldu) Golf 7 Highline Yagmur Sensoru Arizasi,https://www.golftutkusu.com/topic/21840-cozuldu-golf-7-highline-yagmur-sensoru-arizasi,4,0.8084095053724942,NA,unknown,2013,NA,unknown,unknown,medium,0,16,"[0.001217, 0.000361, 0.001277, 0.808410, 0.172040, 0.001571, 0.001401, 0.001507, 0.001512, 0.000513, 0.001734, 0.000932, 0.000591, 0.002479, 0.000372, 0.001081, 0.000897, 0.000964, 0.001033, 0.000109]"
doc_00005,(Cozuldu)Afl Dinamik Viraj Fari Hatasi (C1036 15),https://www.golftutkusu.com/topic/25469-cozuldu-afl-dinamik-viraj-fari-hatasi-c1036-15,18,0.6426429920343786,NA,unknown,NA,NA,unknown,unknown,medium,1,18,"[0.002757, 0.000560, 0.005524, 0.004853, 0.300809, 0.003791, 0.002242, 0.002349, 0.004352, 0.001331, 0.003140, 0.003028, 0.002540, 0.009419, 0.002188, 0.002529, 0.004249, 0.642643, 0.001569, 0.000126]"
doc_00006,(⚙️Hata: Sanziman ) Hidrolik Pompasi Patlamis,https://www.golftutkusu.com/topic/13232-hata-sanziman-hidrolik-pompasi-patlamis,15,0.9953556072851856,1.6,diesel,2013,126000,120-150k,1.6_TDI,high,1,64,"[0.000131, 0.000100, 0.000462, 0.000062, 0.000035, 0.000218, 0.000080, 0.000129, 0.000206, 0.000414, 0.000098, 0.000202, 0.000071, 0.000088, 0.995356, 0.000117, 0.000091, 0.001124, 0.000357, 0.000659]"
doc_00007,**VCDS** Motor Hata Kodu Hakkinda Bilgisi Olan Var midir??,https://www.golftutkusu.com/topic/10284-vcds-motor-hata-kodu-hakkinda-bilgisi-olan-var-midir,17,0.9429714182608117,NA,unknown,NA,NA,unknown,unknown,high,2,17,"[0.000765, 0.000217, 0.000870, 0.000796, 0.002168, 0.001026, 0.001003, 0.000882, 0.000740, 0.000357, 0.041465, 0.000869, 0.000684, 0.000756, 0.000533, 0.001132, 0.942971, 0.001741, 0.000564, 0.000460]"
doc_00008,08 AUTO HVAC vcds hatasi,https://www.golftutkusu.com/topic/15428-08-auto-hvac-vcds-hatasi,5,0.8133529940518365,NA,unknown,NA,NA,unknown,unknown,low,0,1,"[0.017411, 0.003706, 0.021390, 0.017354, 0.813353, 0.016176, 0.007220, 0.010761, 0.017477, 0.004249, 0.008456, 0.010080, 0.005906, 0.017179, 0.001657, 0.004956, 0.007041, 0.004470, 0.010853, 0.000304]"
doc_00009,"1,4 tsi  ses sorunu",https://www.golftutkusu.com/topic/24375-1-4-tsi-ses-sorunu,3,0.5709329114115039,1.4,petrol,2017,NA,unknown,1.4_TSI,high,1,6,"[0.000544, 0.008864, 0.570933, 0.002880, 0.000987, 0.001415, 0.001775, 0.000949, 0.000735, 0.004350, 0.006628, 0.000951, 0.001730, 0.000733, 0.006650, 0.207702, 0.002216, 0.174023, 0.002412, 0.003523]"
doc_00010,1. Vites de stop etmiyor,https://www.golftutkusu.com/topic/14751-1-vites-de-stop-etmiyor,18,0.4831093304628396,1.4,petrol,2013,3000,0-30k,1.4_TSI,medium,0,12,"[0.000462, 0.003193, 0.001569, 0.003432, 0.000554, 0.000888, 0.001894, 0.000834, 0.000543, 0.472804, 0.002551, 0.001071, 0.000898, 0.000768, 0.005261, 0.014779, 0.003391, 0.483109, 0.001604, 0.000395]"
