K,exclusivity,semantic_coherence,topic
4,8.177257942743568,-59.264798239115166,1
4,7.635542920861871,-73.82580196933151,2
4,8.108370325255262,-92.48345461385121,3
4,8.739601341262404,-82.04050802451027,4
6,8.432242064916611,-68.78985551071266,1
6,8.38701859073693,-78.25025312113283,2
6,8.629996985575028,-63.231423484691035,3
6,8.994194359997875,-87.31880495515574,4
6,8.303944977289685,-75.01080508272966,5
6,9.072373701676412,-105.57521070384855,6
8,8.888338999906306,-70.72174408911584,1
8,8.586956818179754,-70.72571314144386,2
8,8.828766557672154,-84.60663538797918,3
8,8.974204672630105,-118.64175790655115,4
8,8.742343245106623,-72.1311306923582,5
8,8.698815114437448,-82.16785251939085,6
8,9.03243983893826,-74.461915733888,7
8,9.30041320822918,-86.18669957325694,8
10,9.118666658356306,-58.66653657138349,1
10,9.02778715454475,-83.86945668980252,2
10,8.962579783091282,-105.60592303753387,3
10,8.549059938397942,-66.91571573170773,4
10,8.759286549878599,-79.92109738793607,5
10,9.57784110830304,-120.97436017853653,6
10,9.015718146715521,-100.94391325506447,7
10,9.0384732704585,-71.7853279059916,8
10,8.862702528502359,-83.57389266072792,9
10,9.034652411200273,-87.75046199923415,10
12,9.397106116682536,-81.41991378211739,1
12,9.088814299004154,-63.621912603371285,2
12,9.562383411640358,-77.28608625352877,3
12,8.711684746789482,-69.49576767010782,4
12,9.110835586663706,-115.42444619619587,5
12,9.003779996583463,-68.53342309415028,6
12,9.176127574153313,-82.44604549279786,7
12,8.787052474079786,-116.16618385812615,8
12,8.819794948719034,-71.19885833973186,9
12,9.398474152520762,-94.45654737932013,10
12,9.03481602331056,-89.94734128564471,11
12,9.335273281287334,-77.28109538432766,12
