doc_name,thread_name,engine_group,dominant_topic,mileage_mentioned,mileage_confidence,gamma_vector
doc_00001,(COZULDU) Golf 7 Direksiyonun Altindan Gelen Zirilti Trim Sesi,1.2_TSI,19,100000,medium,"[0.000343, 0.003184, 0.000148, 0.001035, 0.000170, 0.000419, 0.000135, 0.000382, 0.000478, 0.000826, 0.001665, 0.000092, 0.000463, 0.000531, 0.001416, 0.001620, 0.000237, 0.003214, 0.981437, 0.002205]"
doc_00002,(Cozuldu )Yagmur Sensoru Silecek Durmuyor,unknown,3,NA,none,"[0.001342, 0.000524, 0.763076, 0.000590, 0.222768, 0.001009, 0.000716, 0.000530, 0.000895, 0.000175, 0.000795, 0.000428, 0.000667, 0.001585, 0.000545, 0.001342, 0.000683, 0.001163, 0.000656, 0.000512]"
doc_00003,(Cozuldu) Aku sarj edilmiyor,unknown,11,NA,none,"[0.001000, 0.000067, 0.000769, 0.000990, 0.002041, 0.000988, 0.001270, 0.000631, 0.000867, 0.000072, 0.983678, 0.000677, 0.000603, 0.002449, 0.000147, 0.000785, 0.001110, 0.001084, 0.000664, 0.000106]"
doc_00004,(Cozuldu) Golf 7 Highline Yagmur Sensoru Arizasi,unknown,4,NA,none,"[0.001217, 0.000361, 0.001277, 0.808410, 0.172040, 0.001571, 0.001401, 0.001507, 0.001512, 0.000513, 0.001734, 0.000932, 0.000591, 0.002479, 0.000372, 0.001081, 0.000897, 0.000964, 0.001033, 0.000109]"
doc_00005,(Cozuldu)Afl Dinamik Viraj Fari Hatasi (C1036 15),unknown,18,NA,none,"[0.002757, 0.000560, 0.005524, 0.004853, 0.300809, 0.003791, 0.002242, 0.002349, 0.004352, 0.001331, 0.003140, 0.003028, 0.002540, 0.009419, 0.002188, 0.002529, 0.004249, 0.642643, 0.001569, 0.000126]"
doc_00006,(⚙️Hata: Sanziman ) Hidrolik Pompasi Patlamis,1.6_TDI,15,126000,high,"[0.000131, 0.000100, 0.000462, 0.000062, 0.000035, 0.000218, 0.000080, 0.000129, 0.000206, 0.000414, 0.000098, 0.000202, 0.000071, 0.000088, 0.995356, 0.000117, 0.000091, 0.001124, 0.000357, 0.000659]"
doc_00007,**VCDS** Motor Hata Kodu Hakkinda Bilgisi Olan Var midir??,unknown,17,NA,none,"[0.000765, 0.000217, 0.000870, 0.000796, 0.002168, 0.001026, 0.001003, 0.000882, 0.000740, 0.000357, 0.041465, 0.000869, 0.000684, 0.000756, 0.000533, 0.001132, 0.942971, 0.001741, 0.000564, 0.000460]"
doc_00008,08 AUTO HVAC vcds hatasi,unknown,5,NA,none,"[0.017411, 0.003706, 0.021390, 0.017354, 0.813353, 0.016176, 0.007220, 0.010761, 0.017477, 0.004249, 0.008456, 0.010080, 0.005906, 0.017179, 0.001657, 0.004956, 0.007041, 0.004470, 0.010853, 0.000304]"
doc_00009,"1,4 tsi  ses sorunu",1.4_TSI,3,NA,none,"[0.000544, 0.008864, 0.570933, 0.002880, 0.000987, 0.001415, 0.001775, 0.000949, 0.000735, 0.004350, 0.006628, 0.000951, 0.001730, 0.000733, 0.006650, 0.207702, 0.002216, 0.174023, 0.002412, 0.003523]"
doc_00010,1. Vites de stop etmiyor,1.4_TSI,18,3000,medium,"[0.000462, 0.003193, 0.001569, 0.003432, 0.000554, 0.000888, 0.001894, 0.000834, 0.000543, 0.472804, 0.002551, 0.001071, 0.000898, 0.000768, 0.005261, 0.014779, 0.003391, 0.483109, 0.001604, 0.000395]"
doc_00011,1.2 TSI CJZA Yuksek Yag Tuketimi,1.2_TSI,20,200000,medium,"[0.000113, 0.000762, 0.000053, 0.000182, 0.000118, 0.000232, 0.000072, 0.000078, 0.000163, 0.000276, 0.000653, 0.000036, 0.000150, 0.000152, 0.000825, 0.000774, 0.000111, 0.000608, 0.000233, 0.994410]"
doc_00012,1.2 TSI Golf 7 Yag Eksiltme,1.2_TSI,20,131500,high,"[0.000081, 0.000468, 0.000000, 0.000037, 0.000020, 0.000055, 0.000011, 0.000014, 0.000024, 0.000071, 0.000027, 0.000000, 0.000001, 0.000021, 0.000214, 0.000390, 0.000047, 0.000083, 0.000025, 0.998411]"
doc_00013,1.2 TSI Golf Turbo bolgesindeki yag kalintisi,1.2_TSI,16,30000,medium,"[0.000343, 0.003367, 0.000546, 0.001416, 0.001302, 0.000614, 0.000824, 0.002942, 0.001508, 0.001738, 0.003422, 0.000201, 0.000573, 0.002354, 0.000767, 0.971596, 0.000698, 0.004532, 0.000409, 0.000848]"
doc_00014,1.2 TSI Rolantide titreme,1.2_TSI,18,65000,high,"[0.000254, 0.002204, 0.000680, 0.001898, 0.000249, 0.000921, 0.000291, 0.000556, 0.000816, 0.001603, 0.002030, 0.000261, 0.001108, 0.000614, 0.003145, 0.028539, 0.000806, 0.853605, 0.000743, 0.099678]"
doc_00015,1.2 TSI Su Eksiltme Sorunu,1.2_TSI,17,127000,high,"[0.000928, 0.002483, 0.000169, 0.000840, 0.000612, 0.000813, 0.000592, 0.000827, 0.000716, 0.001228, 0.062311, 0.000203, 0.000568, 0.000818, 0.057371, 0.002992, 0.805247, 0.004396, 0.000918, 0.055967]"
doc_00016,1.2 TSI yag eksiltme problemi (yuksek basinc pompasi kaynakli),1.2_TSI,20,5000,medium,"[0.000424, 0.120058, 0.000332, 0.000939, 0.000501, 0.001059, 0.000466, 0.000517, 0.000713, 0.000821, 0.002861, 0.000189, 0.000913, 0.000779, 0.002574, 0.002900, 0.000563, 0.002239, 0.001199, 0.859954]"
doc_00017,1.2 midline donusum,unknown,14,NA,none,"[0.002799, 0.000408, 0.001085, 0.000655, 0.413898, 0.001333, 0.002080, 0.000969, 0.001038, 0.000558, 0.001537, 0.000804, 0.000707, 0.569364, 0.000479, 0.000484, 0.000732, 0.000587, 0.000447, 0.000037]"
doc_00018,1.2 midline plus tus takimi,1.2_TSI,9,NA,none,"[0.000595, 0.005808, 0.000383, 0.002024, 0.002541, 0.000662, 0.000431, 0.000627, 0.969676, 0.001661, 0.002415, 0.000161, 0.000324, 0.001434, 0.000898, 0.004068, 0.000614, 0.003074, 0.001877, 0.000727]"
doc_00019,1.2 tsi aractan gelen avans sesi??,1.2_TSI,2,1000,high,"[0.000144, 0.983007, 0.000235, 0.000616, 0.000202, 0.000506, 0.000327, 0.000641, 0.000385, 0.000664, 0.000735, 0.000109, 0.000521, 0.000503, 0.001181, 0.002764, 0.000452, 0.004066, 0.000575, 0.002369]"
doc_00020,1.2 tsi kalkista gazi kesik kesik yeme,1.2_TSI,18,75000,medium,"[0.000669, 0.005938, 0.000731, 0.003239, 0.001002, 0.001426, 0.000735, 0.340022, 0.001115, 0.003118, 0.004437, 0.000476, 0.001849, 0.001456, 0.003331, 0.222589, 0.002292, 0.402021, 0.001037, 0.002517]"
