T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,doc_name
0.38929096,0.098988906,0.046377406,0.05083187,0.038111676,0.03425373,0.031977955,0.029672304,0.05425522,0.032961383,0.044645835,0.03931854,0.03741936,0.0277983,0.044096574,doc_00001
0.36070013,0.046306584,0.027989354,0.05036838,0.031381056,0.033909284,0.030750934,0.031392638,0.060330275,0.043950155,0.09367482,0.048450913,0.060119163,0.0359612,0.044715155,doc_00002
0.03624596,0.032025166,0.029355563,0.03833292,0.18016835,0.031841666,0.028842865,0.032778367,0.03401822,0.029895587,0.029123459,0.023234887,0.19886047,0.23067044,0.044606097,doc_00003
0.24724084,0.03411979,0.022529079,0.035533123,0.01860168,0.02493225,0.02437793,0.019080773,0.35334393,0.023870239,0.047726978,0.036856662,0.048216183,0.026787106,0.03678348,doc_00004
0.07451962,0.06126975,0.049223743,0.07811038,0.050321322,0.061745312,0.055912305,0.05153463,0.05630507,0.06557124,0.17024295,0.052497163,0.050088923,0.059962355,0.062695235,doc_00005
0.53197265,0.028266598,0.041724756,0.07460347,0.025159726,0.02178785,0.02169399,0.036693163,0.033544697,0.02664788,0.033454128,0.026590383,0.041852333,0.022144588,0.033863805,doc_00006
0.50909954,0.031541266,0.029932007,0.051772043,0.02472154,0.028698588,0.028450683,0.04724195,0.030649252,0.04396847,0.04418467,0.027634624,0.034315586,0.026921006,0.0408688,doc_00007
0.16641133,0.17362252,0.029218901,0.037690084,0.02375079,0.025260996,0.02349879,0.024423216,0.030482572,0.0245384,0.2354394,0.10408818,0.026728706,0.031857636,0.04298852,doc_00008
0.120183356,0.26350674,0.040641136,0.044372022,0.042729136,0.040944442,0.038919892,0.04171285,0.052534297,0.041761953,0.05240101,0.07080255,0.038467277,0.056136332,0.054887008,doc_00009
0.17516007,0.027387753,0.024494393,0.035546888,0.028673682,0.035841826,0.08409709,0.046021774,0.03053182,0.026071882,0.11123356,0.20990579,0.0939977,0.024029354,0.047006443,doc_00010
0.092253126,0.0446986,0.052949253,0.04254301,0.14881808,0.08830248,0.07221849,0.047925998,0.07464157,0.048913997,0.047444146,0.03911156,0.101926304,0.040612146,0.057641286,doc_00011
0.29885027,0.044410545,0.0469277,0.038733236,0.04856141,0.037728105,0.036362298,0.027748875,0.16706067,0.038713597,0.04508981,0.03696085,0.0401723,0.04381253,0.048867837,doc_00012
0.09337142,0.03149506,0.031737812,0.035202842,0.16082752,0.10986698,0.08104509,0.10961509,0.03524583,0.03138386,0.030756583,0.030628264,0.13010255,0.036689505,0.052031618,doc_00013
0.25557038,0.020059973,0.036918957,0.037157245,0.02972119,0.023242755,0.023822192,0.034862597,0.026152827,0.07879507,0.31767225,0.017920261,0.032780252,0.026579682,0.038744327,doc_00014
0.10533011,0.061736044,0.06896171,0.11807632,0.059638306,0.058688473,0.048566125,0.06530994,0.061517954,0.07950764,0.050645586,0.04115552,0.04738117,0.06928006,0.06420509,doc_00015
0.3793885,0.040276308,0.039698366,0.06446838,0.033355277,0.05577212,0.04624543,0.04968412,0.038999602,0.047360234,0.046646036,0.03765799,0.034002624,0.03892022,0.0475248,doc_00016
0.044137944,0.046704754,0.038831193,0.03259631,0.07235249,0.089172184,0.077734046,0.03342991,0.037684377,0.046783563,0.040467683,0.038025144,0.26240826,0.08513961,0.054532535,doc_00017
0.06751823,0.089935206,0.07025583,0.09363403,0.0439751,0.048042834,0.044749856,0.062746055,0.0633539,0.06473207,0.085710086,0.095157556,0.061140206,0.04616512,0.06288393,doc_00018
0.29304028,0.3428217,0.022894066,0.031619206,0.01923317,0.02306904,0.02263019,0.021223946,0.047687616,0.028563146,0.022563778,0.029902684,0.03942842,0.021980908,0.03334195,doc_00019
0.40934652,0.035771932,0.051938225,0.044161163,0.046279397,0.03480557,0.031584226,0.032245617,0.048046872,0.044008832,0.061379675,0.040612075,0.038839824,0.035312705,0.045667384,doc_00020
0.1949885,0.055645134,0.0494493,0.041363098,0.15601596,0.034320246,0.032889877,0.14695728,0.03419375,0.034233443,0.038323738,0.031960938,0.045068156,0.052564397,0.052026127,doc_00021
0.035778373,0.037769414,0.04233906,0.038579494,0.032955587,0.23094173,0.14567201,0.062554106,0.036255453,0.15940915,0.03376555,0.030832315,0.03233857,0.032105114,0.048704024,doc_00022
0.14183055,0.03501248,0.034439847,0.04259663,0.034816623,0.10999057,0.105037674,0.029504996,0.034295816,0.23844905,0.039383277,0.02998024,0.034214206,0.039806087,0.050641943,doc_00023
0.16126885,0.13522962,0.03678561,0.03801341,0.049170185,0.18261977,0.15132554,0.030997567,0.028402356,0.026204415,0.027427623,0.027099732,0.030621605,0.028181907,0.0466519,doc_00024
0.06452899,0.054068085,0.057496794,0.05456057,0.083901875,0.07334988,0.06890728,0.11042456,0.06266358,0.06760799,0.060232352,0.064334795,0.05848818,0.055229526,0.0642056,doc_00025
0.08384983,0.043342993,0.05983861,0.09329539,0.045732476,0.043503765,0.04138239,0.06275582,0.07857567,0.044758283,0.046949606,0.044298876,0.09929609,0.1512051,0.061215043,doc_00026
0.07379012,0.092860885,0.048578583,0.04221008,0.047083847,0.12713352,0.095728755,0.04992145,0.044912223,0.06872934,0.050418038,0.08889042,0.06322431,0.045468953,0.06104949,doc_00027
0.04613602,0.041381314,0.026494512,0.038125098,0.021530151,0.017695269,0.016717626,0.017989928,0.03723217,0.023421975,0.034120496,0.33692056,0.027535979,0.2786574,0.03604146,doc_00028
0.27322358,0.03746061,0.035476822,0.042604323,0.030410247,0.046983108,0.04254343,0.043807372,0.19692741,0.049567055,0.041384637,0.04307446,0.033974934,0.03334263,0.04921932,doc_00029
0.21505769,0.029097673,0.028702358,0.21493897,0.028604252,0.0330126,0.032627784,0.03448026,0.032870706,0.038743157,0.14453402,0.03332213,0.04577921,0.04073854,0.04749063,doc_00030
0.21325424,0.019637825,0.022358613,0.43971983,0.02551569,0.019628692,0.020261679,0.023755781,0.029683664,0.0393448,0.054231867,0.019301834,0.018991262,0.021025006,0.033289254,doc_00031
0.31902373,0.030493358,0.034797005,0.22799528,0.035860397,0.031924073,0.030185949,0.032489344,0.035196293,0.036312256,0.040641274,0.026382662,0.037010167,0.036856487,0.044831682,doc_00032
0.40559372,0.05247683,0.077458724,0.034414332,0.09290906,0.03484829,0.033662055,0.03615982,0.03284079,0.028604025,0.03180038,0.03513271,0.021599496,0.04111439,0.041385412,doc_00033
0.05806481,0.071116164,0.12017785,0.049271096,0.07549322,0.07610423,0.07119441,0.062036436,0.05402135,0.063855544,0.06100327,0.05093896,0.04673667,0.0765246,0.063461296,doc_00034
0.5250837,0.03127459,0.045097087,0.047100093,0.023326779,0.020174459,0.01937503,0.032709472,0.0269668,0.05355808,0.028120302,0.027539792,0.040908188,0.042246737,0.03651888,doc_00035
0.08767688,0.0787932,0.06820617,0.056643665,0.058285654,0.058829952,0.058110278,0.06685779,0.060181037,0.0654458,0.05977763,0.056440253,0.05881559,0.09933558,0.06660054,doc_00036
0.08329207,0.0795136,0.06404345,0.06496458,0.044663876,0.06368149,0.06191778,0.057338648,0.07989222,0.045938283,0.07491264,0.046453632,0.10724778,0.0641197,0.06202029,doc_00037
0.2712164,0.27752522,0.03238049,0.038368113,0.032684974,0.038072925,0.031520087,0.029744942,0.029922964,0.040047023,0.03252525,0.03606504,0.029010355,0.036600176,0.04431606,doc_00038
0.22775751,0.04063396,0.032872416,0.031132953,0.3211175,0.02954156,0.02631166,0.03061591,0.02793097,0.024508383,0.030787138,0.03986428,0.047209032,0.04643731,0.04327946,doc_00039
0.5497145,0.017817417,0.055129882,0.07616863,0.024538433,0.012185149,0.013678949,0.023036255,0.025584185,0.076050915,0.047659364,0.012435031,0.017917322,0.02055106,0.027532877,doc_00040
0.04945299,0.034052704,0.030584956,0.033019863,0.05356693,0.05608498,0.04970368,0.04170182,0.039302144,0.044801075,0.038248118,0.027813945,0.42189854,0.03734642,0.042421844,doc_00041
0.038673963,0.08633594,0.030993396,0.03447354,0.033227637,0.120398514,0.10272827,0.03602617,0.08257318,0.035678536,0.039112624,0.19027652,0.0796372,0.036890097,0.052974455,doc_00042
0.079325356,0.04052243,0.07696612,0.09049022,0.0709199,0.037785634,0.039215744,0.060069837,0.044122238,0.13848294,0.1065493,0.03926098,0.045163337,0.07177205,0.059353862,doc_00043
0.34095797,0.026079278,0.04410198,0.052351013,0.034188922,0.03616951,0.037641935,0.036775865,0.04392593,0.107264675,0.053170215,0.037328497,0.07269849,0.031338044,0.046007648,doc_00044
0.07361058,0.10129017,0.051425345,0.046915475,0.07055031,0.08114825,0.06875654,0.05394815,0.043465644,0.044486463,0.0634704,0.12341403,0.07312092,0.043204427,0.061193183,doc_00045
0.5264959,0.021345956,0.06375674,0.057197396,0.03226177,0.016193788,0.016683562,0.037163336,0.018157898,0.065334685,0.031407915,0.015063055,0.03258883,0.03247156,0.033877634,doc_00046
0.20896396,0.033975646,0.13720028,0.18324804,0.038664546,0.034838308,0.034088016,0.040033206,0.04141202,0.042582482,0.041218292,0.035641722,0.035151575,0.039444417,0.053537495,doc_00047
0.105115406,0.03702373,0.033447012,0.05054823,0.1776576,0.098300174,0.03721771,0.03790297,0.10281133,0.037039652,0.037155814,0.032217935,0.12607421,0.035100482,0.052387685,doc_00048
0.024275448,0.028657015,0.023540357,0.020188859,0.19664231,0.020436317,0.01974547,0.020821461,0.024216224,0.020369258,0.02940816,0.24153548,0.022391478,0.27171716,0.036054958,doc_00049
0.030410243,0.27557138,0.025707144,0.028260205,0.03164636,0.030795159,0.027846875,0.023922661,0.024014931,0.02971189,0.03546858,0.024854902,0.31362653,0.056601882,0.041561324,doc_00050
0.030749476,0.02032583,0.022282517,0.03214292,0.022936631,0.025287317,0.024599724,0.020245742,0.025273545,0.019366076,0.04083793,0.64420104,0.024602436,0.017969506,0.029179389,doc_00051
0.2844605,0.040080648,0.046489608,0.051886622,0.04404683,0.040797,0.039027616,0.03470631,0.1769966,0.03683226,0.037928298,0.04116568,0.039535884,0.037236504,0.04880958,doc_00052
0.052821085,0.053826887,0.027029436,0.039098643,0.02278888,0.02480092,0.024544477,0.023212759,0.44019815,0.028773146,0.042143352,0.101603426,0.043307573,0.036528025,0.039323155,doc_00053
0.03922074,0.04237006,0.037128966,0.03397367,0.038343646,0.032020304,0.028449502,0.026685588,0.03736961,0.028954463,0.028539054,0.031151528,0.3342731,0.21720241,0.04431733,doc_00054
0.023976753,0.02335267,0.017720807,0.022937492,0.15462004,0.14423612,0.1184178,0.14136577,0.022757448,0.037455,0.0320543,0.01631599,0.18602674,0.021499597,0.037263446,doc_00055
0.50788504,0.034235794,0.030178465,0.032917008,0.031475388,0.03604363,0.03224471,0.035881244,0.038495004,0.044970356,0.03266068,0.030799488,0.034170963,0.036490362,0.0415519,doc_00056
0.073935315,0.058984157,0.062185623,0.10672573,0.0600618,0.04940989,0.04553038,0.04474904,0.06755691,0.057542495,0.059169978,0.10853121,0.052347336,0.08975825,0.06351187,doc_00057
0.24639633,0.3353587,0.02541842,0.027250601,0.026940675,0.032777816,0.029753704,0.026660517,0.027750691,0.030594965,0.026510973,0.054005265,0.03993509,0.03351083,0.037135486,doc_00058
0.255554,0.07116601,0.024377426,0.03557895,0.020842401,0.024309022,0.023894498,0.023543527,0.32524833,0.027009675,0.028614586,0.03562141,0.040600974,0.026515955,0.03712325,doc_00059
0.100367226,0.066467226,0.040878356,0.13928753,0.09169098,0.056286346,0.045598295,0.04035898,0.09742346,0.08205378,0.042840518,0.0519849,0.044011924,0.043135956,0.05761453,doc_00060
0.17014988,0.01881277,0.01999112,0.028940855,0.016556883,0.018712351,0.019088367,0.020777274,0.13478827,0.26882163,0.18965128,0.016359486,0.029356614,0.015455765,0.032537453,doc_00061
0.03665191,0.044384874,0.028623756,0.042921796,0.039571166,0.03748635,0.035516426,0.033762276,0.031835794,0.031375412,0.03742717,0.04001605,0.48129755,0.036472112,0.042657476,doc_00062
0.5152696,0.024418134,0.035052918,0.083273865,0.034315586,0.021403808,0.022369185,0.03320817,0.039636537,0.04031432,0.04781713,0.021539703,0.021222087,0.023133453,0.037025537,doc_00063
0.28850853,0.035490654,0.02678453,0.03833286,0.032492615,0.029929107,0.02966283,0.031647626,0.2630015,0.028817482,0.041690763,0.028559592,0.04997813,0.03250525,0.04259848,doc_00064
0.03726211,0.029819956,0.040163074,0.031600356,0.12996657,0.025933161,0.024976794,0.026966862,0.03058677,0.027696537,0.027803387,0.2371989,0.030894252,0.25594103,0.043190237,doc_00065
0.4551651,0.028296493,0.02997283,0.037736394,0.039202474,0.02221441,0.025082018,0.026993433,0.03614804,0.08871859,0.05640231,0.022732256,0.047871664,0.043914866,0.03954912,doc_00066
0.15990444,0.021220097,0.02506781,0.029193498,0.20809661,0.17005026,0.13618672,0.035114713,0.036423486,0.025116382,0.021790234,0.022531217,0.04061761,0.02817734,0.04050959,doc_00067
0.04022614,0.030771486,0.03149931,0.03569329,0.031260036,0.036976177,0.03239212,0.02692977,0.028580038,0.024408098,0.031221343,0.5522335,0.03655964,0.026427576,0.03482141,doc_00068
0.15694873,0.02739072,0.019814074,0.020011777,0.18714158,0.1835318,0.025138572,0.027349224,0.018653892,0.015412719,0.0170679,0.019144056,0.2258554,0.023260022,0.033279527,doc_00069
0.18268004,0.34981766,0.03351445,0.042329513,0.038622774,0.037949774,0.035070166,0.03616749,0.030272368,0.030146692,0.033285335,0.04332222,0.029096844,0.033497397,0.04422725,doc_00070
0.47694132,0.045451224,0.038199946,0.043390695,0.03337869,0.027625471,0.029701037,0.03159763,0.034026887,0.047202695,0.026746176,0.05117218,0.03428636,0.038627144,0.041652575,doc_00071
0.58787113,0.02636782,0.04050511,0.052060306,0.027871544,0.018508065,0.0188605,0.029823646,0.02341313,0.056838986,0.026502267,0.01621226,0.021028062,0.022069119,0.032068063,doc_00072
0.07218596,0.14019531,0.04280408,0.03482906,0.19697379,0.12741412,0.10079707,0.039117593,0.030163134,0.032326102,0.030074377,0.030953052,0.041613325,0.031195993,0.04935709,doc_00073
0.2548735,0.26217532,0.040039897,0.04108255,0.041629627,0.031489987,0.02981341,0.0331638,0.037064467,0.042228468,0.038068805,0.03834349,0.030131683,0.033709772,0.046185188,doc_00074
0.49196666,0.019567963,0.0282983,0.0539534,0.02147222,0.018558169,0.021162577,0.034074657,0.040635746,0.0721481,0.08202461,0.020370254,0.024473954,0.035390552,0.035902806,doc_00075
0.52409905,0.016412722,0.03652245,0.06534312,0.020643389,0.013206377,0.013561813,0.03624064,0.017915333,0.092291236,0.031058067,0.012239739,0.031110745,0.056150988,0.033204276,doc_00076
