topic,engine_group,estimate,ci_lower,ci_upper,significant
1,0.9_TCE,0.18880057320761656,0.15436122974635608,0.2297750112634107,True
2,0.9_TCE,0.05531798093322666,0.04496981665037206,0.06854567542456504,True
3,0.9_TCE,0.05836130959447964,0.04765270384085243,0.06948487415391381,True
4,0.9_TCE,0.06826932086170615,0.05500703111655558,0.08377642016200446,True
5,0.9_TCE,0.05012597745159653,0.04084791011762795,0.060448635608158156,True
6,0.9_TCE,0.0407505070765348,0.03285755480986694,0.04952563728897603,True
7,0.9_TCE,0.03886918046129913,0.031238156484211577,0.04680612916306277,True
8,0.9_TCE,0.05465928321801231,0.044556820175703546,0.06552515300330221,True
9,0.9_TCE,0.05665879856289749,0.045506813055084465,0.06864373379768798,True
10,0.9_TCE,0.07832081837605996,0.06380755397901075,0.09419665480153698,True
11,0.9_TCE,0.053514124106687246,0.043998169684490086,0.06422691801086118,True
12,0.9_TCE,0.05126550839900009,0.041111169173067855,0.06162424290579026,True
13,0.9_TCE,0.07369040695321855,0.05969062353944616,0.08959053560930934,True
14,0.9_TCE,0.07276390043510944,0.05930839317854262,0.08905188350661819,True
15,0.9_TCE,0.05863231036255615,0.05439837905401066,0.06174845169655295,True
1,1.0_TCE,0.2897190463202464,0.1465913569701419,0.4667579449558169,True
2,1.0_TCE,0.04187720986997217,0.018466709430105387,0.09157093507276427,True
3,1.0_TCE,0.05482264870600325,0.026981921310604996,0.09967975518756429,True
4,1.0_TCE,0.08343013163115409,0.043859494611470554,0.15971833451713083,True
5,1.0_TCE,0.03892772545520238,0.018190438144140716,0.07809142185054778,True
6,1.0_TCE,0.0325534441263242,0.01670717212170748,0.06482106413054126,True
7,1.0_TCE,0.033007730892083496,0.01679629090158315,0.062448803628274235,True
8,1.0_TCE,0.04303633594426084,0.021168157207170354,0.08044535984978131,True
9,1.0_TCE,0.053302576191200615,0.023835432628236314,0.0959349466988705,True
10,1.0_TCE,0.08554170323894832,0.04300332522592195,0.15215566091729057,True
11,1.0_TCE,0.06155688572034606,0.03137328953820097,0.10456337409425161,True
12,1.0_TCE,0.034401580755680915,0.017626473840617846,0.06373553819959725,True
13,1.0_TCE,0.04902414680962112,0.02389455379928404,0.09214240565544526,True
14,1.0_TCE,0.046537446571550185,0.022435286529523618,0.08592778673814157,True
15,1.0_TCE,0.05226138776740075,0.03702008671320137,0.06218127167117326,True
1,1.2_TCE,0.2653981829250223,0.1863242404587492,0.3537475849396395,True
2,1.2_TCE,0.04919976812363325,0.03333585114803417,0.06999264124892969,True
3,1.2_TCE,0.05019101587882206,0.03432869556043311,0.06776119375703588,True
4,1.2_TCE,0.0761236197520627,0.05535189202402304,0.10278123810181429,True
5,1.2_TCE,0.06563572371916128,0.04621450189556099,0.09059322868121641,True
6,1.2_TCE,0.0377563101180582,0.02649452518271428,0.0513482194718931,True
7,1.2_TCE,0.03640980120278747,0.026008786170015907,0.048476262921664966,True
8,1.2_TCE,0.05976503075851169,0.04074032781388195,0.0806927146451884,True
9,1.2_TCE,0.04898034815614001,0.03421543651939057,0.0657316914122142,True
10,1.2_TCE,0.052008695933850206,0.03604306759732144,0.06863450851115281,True
11,1.2_TCE,0.04355083410545867,0.03097963060685775,0.056994657080318485,True
12,1.2_TCE,0.0407070410283931,0.028551925625385968,0.055509119381091626,True
13,1.2_TCE,0.05063970357457713,0.035220147797081845,0.06833421414727986,True
14,1.2_TCE,0.0621424342940394,0.04558355947156494,0.08225239699462804,True
15,1.2_TCE,0.061491490429471975,0.05304416061033209,0.06783280914163138,True
1,1.3_TCE,0.037637924468214456,0.009497691444477666,0.11753760574602067,True
2,1.3_TCE,0.024846175380882133,0.0062026686410184585,0.07033535707470087,True
3,1.3_TCE,0.0270489838762098,0.008274472822603362,0.07958599657859447,True
4,1.3_TCE,0.03366989707397037,0.010179277205979274,0.08972993170036578,True
5,1.3_TCE,0.025364850217490336,0.007992591607319187,0.07055551847410566,True
6,1.3_TCE,0.02285869225564476,0.007141961292285105,0.055508908146907225,True
7,1.3_TCE,0.022527797638561612,0.008167363973235399,0.05623200180760511,True
8,1.3_TCE,0.02758624882925671,0.008284939931164794,0.07910673947081136,True
9,1.3_TCE,0.024909550590318706,0.007685885952683301,0.0746416943534239,True
10,1.3_TCE,0.02316824601325713,0.007077342182356957,0.05801146014414835,True
11,1.3_TCE,0.022491979507359098,0.007185489647151626,0.0612737028772806,True
12,1.3_TCE,0.022291847326785415,0.006649723994881517,0.06082194590040811,True
13,1.3_TCE,0.023889892629193617,0.007629856350793163,0.06576376426202997,True
14,1.3_TCE,0.024590457799377675,0.0095543531635361,0.06961717162544429,True
15,1.3_TCE,0.6371174563934817,0.5066133684546407,0.6796507134437311,True
1,1.4_NA,0.1902725020460451,0.14528246721440644,0.24445548619993948,True
2,1.4_NA,0.05036484760301525,0.03811368554939114,0.06780747576801054,True
3,1.4_NA,0.05641076939537004,0.04304474265540407,0.0722716892948006,True
4,1.4_NA,0.08007850205439541,0.05912113068681556,0.10437453586625359,True
5,1.4_NA,0.06940118652108465,0.05181953758577304,0.09170125006758388,True
6,1.4_NA,0.06180472997446157,0.04657933528927133,0.08167847148933993,True
7,1.4_NA,0.05525343949279803,0.0422143338090658,0.07003423792365134,True
8,1.4_NA,0.06295853872693834,0.04777851051569972,0.08202730304101996,True
9,1.4_NA,0.05458411477854099,0.04184548203852241,0.07037317775280884,True
10,1.4_NA,0.06006422703778547,0.04495447591329587,0.07695733913070629,True
11,1.4_NA,0.05689791284210338,0.04311092527190348,0.07433196434495544,True
12,1.4_NA,0.0394424780273664,0.029714779304496505,0.05172533385102267,True
13,1.4_NA,0.05212506947775258,0.03943152733702594,0.06522484021950221,True
14,1.4_NA,0.051784615411420994,0.0399589006100175,0.06515368191776766,True
15,1.4_NA,0.0585570666109239,0.05311651012675704,0.0627984264345415,True
1,1.5_DCI,0.19866950444877118,0.17705807128938839,0.21778953205967935,True
2,1.5_DCI,0.06129737622510906,0.05443616201937257,0.06869540949185567,True
3,1.5_DCI,0.0552820518498853,0.04954644453252109,0.06150090363558688,True
4,1.5_DCI,0.08748087345517283,0.07891087889621264,0.09604919254520525,True
5,1.5_DCI,0.05464130565261136,0.04904678855953029,0.06015586122262129,True
6,1.5_DCI,0.04638281928793794,0.04121715806228999,0.05144115491045825,True
7,1.5_DCI,0.04390680758443253,0.0397367024247999,0.04820107771495644,True
8,1.5_DCI,0.05260801422245161,0.04716818354029591,0.058322540087017885,True
9,1.5_DCI,0.08852557943703578,0.07993505818524246,0.09692279521555486,True
10,1.5_DCI,0.04980194059392986,0.044839820059663235,0.054594234033045974,True
