topic,engine_spec,count,pct_of_topic,pct_of_engine_spec
1,2.0_TSI,292,86.1,16.4
1,2.0_TDI,14,4.1,6.0
1,unknown,12,3.5,2.2
1,1.4_TSI,10,2.9,38.5
1,1.6_TDI,5,1.5,15.2
1,1.5_TSI,3,0.9,42.9
1,1.8_TSI,1,0.3,20.0
1,TDI_unknown,1,0.3,16.7
1,1.0_TSI,1,0.3,20.0
2,2.0_TSI,117,59.1,6.6
2,unknown,69,34.8,12.7
2,2.0_TDI,8,4.0,3.4
2,1.6_TDI,2,1.0,6.1
2,1.4_TSI,1,0.5,3.8
2,1.4_GTE,1,0.5,25.0
3,2.0_TSI,92,58.6,5.2
3,unknown,40,25.5,7.3
3,2.0_TDI,21,13.4,8.9
3,TSI_unknown,1,0.6,20.0
3,3.2_VR6,1,0.6,100.0
3,1.6_TDI,1,0.6,3.0
3,1.4_TSI,1,0.6,3.8
4,2.0_TSI,95,65.1,5.3
4,unknown,34,23.3,6.2
4,2.0_TDI,14,9.6,6.0
4,1.6_TDI,1,0.7,3.0
4,1.9_TDI,1,0.7,16.7
4,1.4_GTE,1,0.7,25.0
5,2.0_TSI,87,63.0,4.9
5,unknown,45,32.6,8.3
5,2.0_TDI,4,2.9,1.7
5,1.6_TDI,1,0.7,3.0
5,1.5_TSI,1,0.7,14.3
6,2.0_TSI,83,66.4,4.6
6,unknown,24,19.2,4.4
6,2.0_TDI,11,8.8,4.7
6,TDI_unknown,2,1.6,33.3
6,TSI_unknown,2,1.6,40.0
6,1.8_TSI,1,0.8,20.0
6,1.0_TSI,1,0.8,20.0
6,1.4_GTE,1,0.8,25.0
7,2.0_TSI,61,49.2,3.4
7,unknown,52,41.9,9.5
7,2.0_TDI,6,4.8,2.6
7,TSI_unknown,2,1.6,40.0
7,1.9_TDI,1,0.8,16.7
7,1.4_TSI,1,0.8,3.8
7,1.6_TDI,1,0.8,3.0
8,2.0_TSI,105,89.0,5.9
8,2.0_TDI,5,4.2,2.1
8,unknown,5,4.2,0.9
8,1.4_TSI,2,1.7,7.7
8,1.6_TDI,1,0.8,3.0
9,2.0_TSI,89,81.7,5.0
9,2.0_TDI,7,6.4,3.0
9,unknown,7,6.4,1.3
9,1.4_TSI,2,1.8,7.7
9,1.4_GTE,1,0.9,25.0
9,TDI_unknown,1,0.9,16.7
9,1.6_TDI,1,0.9,3.0
9,1.9_TDI,1,0.9,16.7
10,2.0_TSI,119,87.5,6.7
10,2.0_TDI,11,8.1,4.7
10,unknown,5,3.7,0.9
10,1.2_TSI,1,0.7,20.0
11,2.0_TSI,75,70.8,4.2
11,unknown,19,17.9,3.5
11,2.0_TDI,10,9.4,4.3
11,1.4_TSI,1,0.9,3.8
11,1.0_TSI,1,0.9,20.0
12,2.0_TSI,42,55.3,2.4
12,unknown,19,25.0,3.5
12,2.0_TDI,11,14.5,4.7
12,1.6_TDI,3,3.9,9.1
12,1.4_TSI,1,1.3,3.8
13,2.0_TSI,48,66.7,2.7
13,unknown,21,29.2,3.9
13,2.0_TDI,3,4.2,1.3
14,2.0_TSI,35,47.3,2.0
14,unknown,29,39.2,5.3
14,2.0_TDI,9,12.2,3.8
14,1.2_TSI,1,1.4,20.0
15,2.0_TSI,36,47.4,2.0
15,unknown,23,30.3,4.2
15,2.0_TDI,15,19.7,6.4
15,1.6_TDI,2,2.6,6.1
16,2.0_TSI,29,44.6,1.6
16,unknown,26,40.0,4.8
16,2.0_TDI,8,12.3,3.4
16,1.6_TDI,1,1.5,3.0
16,1.2_TSI,1,1.5,20.0
17,2.0_TSI,58,85.3,3.2
17,unknown,9,13.2,1.7
17,2.0_TDI,1,1.5,0.4
18,2.0_TSI,34,52.3,1.9
18,unknown,23,35.4,4.2
18,2.0_TDI,7,10.8,3.0
18,TDI_unknown,1,1.5,16.7
19,2.0_TSI,42,70.0,2.4
19,2.0_TDI,8,13.3,3.4
19,unknown,6,10.0,1.1
19,1.6_TDI,2,3.3,6.1
19,1.9_TDI,1,1.7,16.7
19,1.4_TSI,1,1.7,3.8
20,2.0_TSI,59,64.8,3.3
20,2.0_TDI,15,16.5,6.4
20,unknown,5,5.5,0.9
20,1.6_TDI,3,3.3,9.1
20,1.4_TSI,3,3.3,11.5
20,1.8_TSI,2,2.2,40.0
20,1.0_TSI,2,2.2,40.0
20,1.2_TSI,1,1.1,20.0
20,1.9_TDI,1,1.1,16.7
21,2.0_TSI,36,67.9,2.0
21,2.0_TDI,7,13.2,3.0
21,unknown,5,9.4,0.9
21,1.6_TDI,3,5.7,9.1
21,1.4_TSI,1,1.9,3.8
21,1.8_TSI,1,1.9,20.0
22,2.0_TSI,26,52.0,1.5
22,2.0_TDI,12,24.0,5.1
22,unknown,10,20.0,1.8
