doc_name,complaint_id,model_year,dominant_topic,topic_gamma,engine_spec,prod_year,component,mileage_miles,technical_bucket,chronic_score,gamma_vector
doc_00001,10606059,2000,19,1.0,unknown,2000,"ENGINE AND ENGINE COOLING,VEHICLE SPEED CONTROL",,medium,1,"[4.75754196525623e-308, 3.5110056338052486e-308, 1.1205843621053792e-307, 3.5352174502868466e-308, 2.4302042658451595e-308, 3.777274513041655e-308, 2.095428246318015e-308, 2.912071377734429e-308, 2.35744562199887e-308, 5.72786714368886e-308, 1.2054930467166985e-307, 1.4801639385289046e-308, 1.530653414098966e-308, 2.74811806643241e-308, 7.750936406648452e-308, 1.3676316911367047e-308, 2.985964939073292e-308, 1.3825157277400175e-308, 1.0]"
doc_00002,10459952,2000,2,1.0,unknown,2000,FUEL/PROPULSION SYSTEM,,medium,0,"[2.764813359372539e-308, 1.0, 5.142074011516106e-308, 3.4694225393273177e-308, 2.2781524781926353e-308, 2.6873426246479004e-308, 1.435941877908697e-308, 3.8303121200616473e-308, 1.6286119594105084e-308, 6.036141413511397e-308, 2.436988658912517e-308, 1.2191516251518784e-308, 1.342762877881357e-308, 1.8068162425008425e-308, 2.161156036340611e-308, 1.223663706342147e-308, 5.567581376384641e-308, 1.174193246877092e-308, 3.045729652097085e-308]"
doc_00003,10416272,2000,3,0.025800402088168122,unknown,2000,STRUCTURE,,low,0,"[0.008562738664814672, 0.019956610596555294, 0.025800402088168122, 0.007863297251724154, 0.005178355175088646, 0.008654534767945431, 0.004075821624043327, 0.010460020704720439, 0.0047001734517740585, 0.026886860241016698, 0.007680077957210613, 0.002663134190095052, 0.0028604760906717954, 0.005290666302997788, 0.00626526275158166, 0.002559771835412656, 0.009818503831284782, 0.0025187326086243056, 0.0100826735739682]"
doc_00004,10293090,2000,3,0.2988906181400742,unknown,2008,POWER TRAIN,,low,0,"[0.06337712028245039, 0.04658079682414342, 0.2988906181400742, 0.03178618346675795, 0.022507615260681617, 0.048011281979191966, 0.02183682738144347, 0.04094470216043632, 0.02583826338195706, 0.07557945097143402, 0.06800002431313786, 0.014932935825023615, 0.015223720127296227, 0.028912471864037587, 0.046767420647646066, 0.01356558743902621, 0.03176230195631401, 0.013814877838529352, 0.09166780014041852]"
doc_00005,10283481,2000,5,0.3996538261998466,unknown,2000,ENGINE AND ENGINE COOLING,,high,0,"[0.020142532840632905, 0.025734931350568205, 0.028263639108268797, 0.0467831971456791, 0.3996538261998466, 0.016961317754997266, 0.011736154904677899, 0.01731461653254738, 0.012808166694328828, 0.04436846860780233, 0.01896562306384535, 0.012832197233411823, 0.016752902502347792, 0.01470868665117531, 0.018845907839146123, 0.015646406064651626, 0.02792983437799621, 0.013187485461725088, 0.02453161047904886]"
doc_00006,10278059,2000,1,1.0,unknown,2000,"SERVICE BRAKES, HYDRAULIC",,high,1,"[1.0, 2.450284751822302e-308, 4.555711072024289e-308, 1.940800662769111e-308, 1.853128485328638e-308, 6.796095921065095e-308, 3.5286149368550945e-308, 3.841993393613259e-308, 4.844210238488637e-308, 3.8823114177878083e-308, 3.5262790088433483e-308, 2.162148722757726e-308, 1.912418614690178e-308, 5.537411276046086e-308, 2.710432166138223e-308, 1.6376506981660147e-308, 1.9090864580675723e-308, 1.834060404286838e-308, 4.118905590731161e-308]"
doc_00007,10261520,2000,10,0.17429411936623232,unknown,2000,"FUEL SYSTEM, GASOLINE",,low,0,"[0.03315061615433599, 0.05114002177997694, 0.06179511755932989, 0.056299848184245466, 0.040038604614393736, 0.026118763386068097, 0.01447678351593542, 0.027866005637053475, 0.01644364337064292, 0.17429411936623232, 0.02970915464539337, 0.012042417898427204, 0.014158663616673513, 0.018997076369840042, 0.027820594687864495, 0.01280326948835511, 0.04538708882094771, 0.011807120049046011, 0.04385756367580053]"
doc_00008,10245694,2000,3,0.05663405691455337,unknown,2000,ENGINE AND ENGINE COOLING,,medium,0,"[0.028147171351121117, 0.019788142748401735, 0.05663405691455337, 0.010494241039108707, 0.008112503216558285, 0.03284119662902482, 0.009890906350992034, 0.036442593680820326, 0.012121584361181525, 0.03065865687435818, 0.015249010452212006, 0.005880693905032038, 0.005859417035732645, 0.01383973239035288, 0.0117644839869277, 0.005168466050415308, 0.012114311313133253, 0.00535208135260154, 0.0182615772237737]"
doc_00009,10240958,2000,2,1.0,unknown,2000,"FUEL SYSTEM, GASOLINE",,low,0,"[2.687781630621262e-308, 1.0, 4.920164248655249e-308, 4.1820119730579793e-308, 2.3697267979671965e-308, 2.554009547493252e-308, 1.4017287923026334e-308, 3.3046786274472136e-308, 1.5797902900062183e-308, 6.046831354282843e-308, 2.6000454300381524e-308, 1.186408379249832e-308, 1.3102584988187135e-308, 1.7539105484477303e-308, 2.3372963121764837e-308, 1.1980289676530867e-308, 7.223869507671812e-308, 1.146019601588851e-308, 3.3398319294336234e-308]"
doc_00010,10237277,2000,12,0.019000437087496186,unknown,2000,LATCHES/LOCKS/LINKAGES,,low,0,"[0.05961872679928775, 0.014299363010982696, 0.021808105856741408, 0.012200833296506274, 0.011939712735640859, 0.037815663976553344, 0.03940120828492386, 0.023283339396098706, 0.06573151911474114, 0.020577924457228364, 0.01871120059459499, 0.019000437087496186, 0.01427660616670602, 0.08138183546850546, 0.015280416296196978, 0.012112722693806687, 0.012062764769345452, 0.014742413725591956, 0.020673045731693766]"
