Financial year,Period,Defect category,Overall % of tests,Overall % of defects,Dangerous defects % of tests,Dangerous defects % of defects,Major defects % of tests,Major defects % of defects
2025 to 2026,Quarter 1: April to June,"Body, chassis, structure",3.18%,6.19%,0.16%,1.81%,3.07%,6.98%
2025 to 2026,Quarter 1: April to June,Brakes,6.10%,15.28%,2.39%,29.08%,4.53%,12.80%
2025 to 2026,Quarter 1: April to June,Buses and coaches supplementary tests,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2025 to 2026,Quarter 1: April to June,Identification of the vehicle,0.32%,0.61%,,,0.32%,0.72%
2025 to 2026,Quarter 1: April to June,"Lamps, reflectors and electrical equipment",10.36%,24.81%,0.14%,1.39%,10.29%,29.02%
2025 to 2026,Quarter 1: April to June,Motorcycle lamps and reflectors,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2025 to 2026,Quarter 1: April to June,"Noise, emissions and leaks",3.03%,5.82%,0.03%,0.26%,3.02%,6.82%
2025 to 2026,Quarter 1: April to June,Road Wheels,0.38%,0.79%,0.08%,0.92%,0.31%,0.76%
2025 to 2026,Quarter 1: April to June,Seat belt installation check,0.01%,0.01%,,,0.01%,0.01%
2025 to 2026,Quarter 1: April to June,Seat belts and supplementary restraint systems,0.96%,1.66%,0.00%,0.04%,0.95%,1.95%
2025 to 2026,Quarter 1: April to June,Speedometer and speed limiter,0.00%,0.01%,,,0.00%,0.01%
2025 to 2026,Quarter 1: April to June,Steering,1.84%,3.40%,0.08%,0.87%,1.78%,3.86%
2025 to 2026,Quarter 1: April to June,Suspension,8.65%,19.94%,0.45%,5.20%,8.39%,22.59%
2025 to 2026,Quarter 1: April to June,Tyres,6.23%,12.94%,4.42%,60.32%,2.11%,4.43%
2025 to 2026,Quarter 1: April to June,Visibility,4.65%,8.54%,0.01%,0.10%,4.64%,10.05%
2025 to 2026,Quarter 1: April to June,Overall Initial Failure Rate,27.24%,,7.16%,,20.08%,
2025 to 2026,Quarter 1: April to June,Average defects per Initial Test Failure,,2.42,,0.37,,2.05
2024 to 2025,Total,"Body, chassis, structure",3.41%,6.34%,0.18%,1.82%,3.28%,7.20%
2024 to 2025,Total,Brakes,6.63%,16.15%,2.58%,29.01%,4.95%,13.72%
2024 to 2025,Total,Buses and coaches supplementary tests,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
2024 to 2025,Total,Identification of the vehicle,0.34%,0.62%,,,0.34%,0.74%
