engine_spec,reg_year,total_tests,pass_count,avg_failures,avg_mileage,fail_rate_pct
1.2_TDI,2009,1,1,0.0,40114.0,0.0
1.2_TDI,2010,7,6,0.2857142857142857,29553.0,14.3
1.2_TDI,2011,38,33,1.105263157894737,33887.81578947369,13.2
1.2_TDI,2012,1,0,2.0,40756.0,100.0
1.2_TSI,2004,1,1,1.0,69654.0,0.0
1.2_TSI,2007,1,1,2.0,52542.0,0.0
1.2_TSI,2008,2,2,1.5,58065.5,0.0
1.2_TSI,2009,20,19,0.75,37957.1,5.0
1.2_TSI,2010,1518,1387,0.5882740447957839,33335.22310756972,8.6
1.2_TSI,2011,3334,3041,0.640371925614877,29100.24616310563,8.8
1.2_TSI,2012,72,65,0.6527777777777778,26759.472222222223,9.7
1.2_TSI,2013,1,1,0.0,32200.0,0.0
1.4_TDI,1996,1,0,5.0,130476.0,100.0
1.4_TDI,1998,1,0,22.0,103936.0,100.0
1.4_TDI,1999,5,2,2.8,122169.4,60.0
1.4_TDI,2000,7,6,2.4285714285714284,128790.57142857143,14.3
1.4_TDI,2001,34,25,3.1176470588235294,108955.0,26.5
1.4_TDI,2002,32,23,2.0625,96428.40625,28.1
1.4_TDI,2003,37,27,2.27027027027027,90909.83783783784,27.0
1.4_TDI,2004,71,56,1.591549295774648,84583.38571428572,21.1
1.4_TDI,2005,38,31,1.2894736842105263,78042.73684210527,18.4
1.4_TDI,2006,55,44,1.4363636363636363,74037.60377358491,20.0
1.4_TDI,2007,56,46,1.0357142857142858,63622.67857142857,17.9
1.4_TDI,2008,97,80,1.1237113402061856,54906.28421052632,17.5
1.4_TDI,2009,151,133,0.7350993377483444,45146.50666666667,11.9
1.4_TDI,2010,92,90,0.2391304347826087,32568.923076923078,2.2
1.4_TDI,2011,103,100,0.39805825242718446,26677.679611650485,2.9
1.4_TDI,2012,5,4,0.6,28626.4,20.0
1.4_TSI,1991,1,1,0.0,100790.0,0.0
1.4_TSI,1995,5,4,1.8,80731.0,20.0
1.4_TSI,1996,79,53,3.6202531645569622,117447.57894736843,32.9
1.4_TSI,1997,69,48,4.043478260869565,108717.16176470589,30.4
1.4_TSI,1998,253,163,3.707509881422925,100558.496,35.6
1.4_TSI,1999,518,341,3.030888030888031,100598.65551181103,34.2
1.4_TSI,2000,2702,1867,2.727239082161362,101222.12397003746,30.9
1.4_TSI,2001,8625,6091,2.628753623188406,97649.2351767054,29.4
1.4_TSI,2002,11538,8266,2.395909169700121,93117.44431798284,28.4
1.4_TSI,2003,14179,10431,2.241554411453558,87765.55791574596,26.4
1.4_TSI,2004,11526,8522,1.99540170050321,82022.8449394843,26.1
1.4_TSI,2005,7900,6012,1.5555696202531646,75393.74029126213,23.9
1.4_TSI,2006,9859,7778,1.3344152550968658,67071.83873606709,21.1
1.4_TSI,2007,10286,8413,1.1439821116080109,59487.51197252208,18.2
1.4_TSI,2008,10001,8566,0.902009799020098,50383.42022403875,14.3
1.4_TSI,2009,22712,20330,0.7136755899964776,41210.636142014984,10.5
1.4_TSI,2010,13799,12710,0.5617798391187767,32224.860337645252,7.9
1.4_TSI,2011,13450,12481,0.5061710037174721,23968.67375093214,7.2
1.4_TSI,2012,349,332,0.3667621776504298,20508.4683908046,4.9
1.4_TSI,2013,6,5,0.3333333333333333,29025.166666666668,16.7
1.4_TSI,2014,1,1,0.0,3292.0,0.0
1.5_TDI,1983,1,1,0.0,11903.0,0.0
1.5_TSI,2002,4,2,2.0,122911.5,50.0
1.6_TDI,1985,1,1,4.0,121703.0,0.0
1.6_TDI,1986,4,3,2.0,111406.25,25.0
1.6_TDI,1987,3,2,3.6666666666666665,140453.33333333334,33.3
1.6_TDI,1988,9,5,4.0,129635.55555555556,44.4
1.6_TDI,1989,13,10,3.076923076923077,135527.46153846153,23.1
1.6_TDI,1990,7,5,3.2857142857142856,202895.2,28.6
1.6_TDI,1991,8,5,2.75,172350.5,37.5
1.6_TDI,1992,3,2,2.3333333333333335,114223.0,33.3
1.6_TDI,1995,1,1,0.0,101518.0,0.0
1.6_TDI,1996,2,1,3.0,191203.0,50.0
1.6_TDI,1998,4,2,3.75,90940.5,50.0
1.6_TDI,1999,9,7,3.7777777777777777,119146.44444444444,22.2
1.6_TDI,2000,34,25,2.3823529411764706,102703.51515151515,26.5
1.6_TDI,2001,71,48,3.2253521126760565,122121.47887323944,32.4
1.6_TDI,2002,135,98,2.0444444444444443,119475.32835820895,27.4
1.6_TDI,2003,99,76,1.9595959595959596,107124.26315789473,23.2
1.6_TDI,2004,215,160,1.869767441860465,102060.25592417062,25.6
1.6_TDI,2005,259,201,1.3706563706563706,98527.17441860466,22.4
1.6_TDI,2006,256,195,1.06640625,84927.8406374502,23.8
1.6_TDI,2007,177,148,1.1977401129943503,70622.10169491525,16.4
1.6_TDI,2008,204,165,1.0392156862745099,66130.77386934674,19.1
1.6_TDI,2009,7790,6946,0.7731707317073171,52811.993394638,10.8
1.6_TDI,2010,26688,23846,0.7884067745803357,50410.22200385502,10.6
1.6_TDI,2011,36008,32257,0.7676349700066651,42331.22066330088,10.4
1.6_TDI,2012,1136,1044,0.6214788732394366,37696.99646330681,8.1
1.6_TDI,2013,8,7,0.375,9098.125,12.5
1.6_TSI,1971,4,2,2.0,111092.25,50.0
1.6_TSI,1981,1,1,0.0,128649.0,0.0
1.6_TSI,1982,2,2,0.5,75576.5,0.0
1.6_TSI,1983,4,2,4.5,59281.75,50.0
1.6_TSI,1984,28,21,2.6785714285714284,98121.25925925926,25.0
1.6_TSI,1985,107,72,3.2336448598130842,102344.75238095238,32.7
1.6_TSI,1986,126,91,2.888888888888889,89979.12096774194,27.8
1.6_TSI,1987,196,132,3.510204081632653,98802.171875,32.7
1.6_TSI,1988,279,188,3.3297491039426523,112793.200729927,32.6
1.6_TSI,1989,509,343,3.045186640471513,109451.68588469185,32.6
1.6_TSI,1990,853,570,3.582649472450176,115757.39904988123,33.2
1.6_TSI,1991,941,636,3.5579171094580233,111780.50539956804,32.4
1.6_TSI,1992,30,17,3.4,98328.13793103448,43.3
1.6_TSI,1993,39,28,3.8461538461538463,107318.1282051282,28.2
1.6_TSI,1994,178,131,3.533707865168539,94207.16477272728,26.4
1.6_TSI,1995,732,487,3.4631147540983607,107866.29661016949,33.5
1.6_TSI,1996,831,545,3.7027677496991576,108379.62681159421,34.4
1.6_TSI,1997,1628,1083,3.4324324324324325,103192.49750933997,33.5
1.6_TSI,1998,2373,1597,3.1175726927939316,100209.86359761296,32.7
1.6_TSI,1999,2993,2054,2.7854994988306045,99459.49730458221,31.4
1.6_TSI,2000,8030,5782,2.577085927770859,100509.63599748269,28.0
1.6_TSI,2001,20525,14795,2.4033130328867234,98649.10173085459,27.9
1.6_TSI,2002,20289,15048,2.103405786386712,92104.8153218179,25.8
1.6_TSI,2003,19375,15176,1.798658064516129,87123.92870925684,21.7
1.6_TSI,2004,13221,10005,1.788820815369488,80976.42967436172,24.3
1.6_TSI,2005,12482,9861,1.4147572504406345,74786.9842181936,21.0
1.6_TSI,2006,15584,12742,1.184355749486653,65299.42120956764,18.2
1.6_TSI,2007,18891,15963,0.9700915780001059,56954.56512694687,15.5
1.6_TSI,2008,7393,6321,0.8773163803597999,49290.99604796947,14.5
1.6_TSI,2009,2569,2295,0.6539509536784741,43981.0948072384,10.7
1.6_TSI,2010,367,335,0.5504087193460491,47205.4301369863,8.7
1.6_TSI,2011,529,481,0.6729678638941399,38982.76190476191,9.1
1.6_TSI,2012,14,13,0.5714285714285714,34077.142857142855,7.1
1.6_TSI,2015,2,1,2.0,38542.0,50.0
1.8_TDI,1982,1,1,0.0,253567.0,0.0
1.8_TDI,1983,2,1,5.5,159556.0,50.0
1.8_TDI,1985,4,1,4.25,168008.33333333334,75.0
1.8_TDI,1988,3,3,1.3333333333333333,111166.33333333333,0.0
1.8_TDI,1989,5,4,2.2,129758.0,20.0
1.8_TDI,1990,2,2,1.5,166021.0,0.0
1.8_TDI,1991,7,5,3.142857142857143,109603.28571428571,28.6
1.8_TDI,1992,4,3,1.5,113101.66666666667,25.0
1.8_TDI,1994,2,1,1.5,31466.5,50.0
1.8_TDI,1995,4,3,4.25,141035.5,25.0
1.8_TDI,1996,16,10,3.5,146417.1875,37.5
1.8_TDI,1997,10,6,3.2,90716.7,40.0
1.8_TDI,1998,1,1,3.0,162150.0,0.0
1.8_TDI,2000,19,13,2.0526315789473686,113578.78947368421,31.6
1.8_TDI,2001,39,29,3.051282051282051,119343.0,25.6
1.8_TDI,2002,21,17,2.9047619047619047,111812.23809523809,19.0
1.8_TDI,2003,7,6,1.2857142857142858,102268.71428571429,14.3
1.8_TDI,2004,6,5,1.6666666666666667,110407.33333333333,16.7
1.8_TDI,2005,4,3,2.0,126263.0,25.0
1.8_TDI,2006,6,5,1.0,85269.83333333333,16.7
1.8_TDI,2007,4,3,3.0,88019.5,25.0
1.8_TDI,2008,2,1,0.5,112788.5,50.0
1.8_TDI,2009,1,1,0.0,39296.0,0.0
1.8_TSI,1966,1,1,8.0,170693.0,0.0
1.8_TSI,1971,44,29,3.477272727272727,119082.73809523809,34.1
1.8_TSI,1972,1,1,1.0,57023.0,0.0
1.8_TSI,1978,1,1,0.0,133833.0,0.0
1.8_TSI,1979,3,3,2.0,130135.0,0.0
1.8_TSI,1980,6,4,3.1666666666666665,158086.0,33.3
1.8_TSI,1981,7,6,0.8571428571428571,112500.57142857143,14.3
1.8_TSI,1982,62,45,2.693548387096774,128187.75862068965,27.4
1.8_TSI,1983,214,145,2.9485981308411215,126285.46153846153,32.2
1.8_TSI,1984,103,69,3.233009708737864,124849.70297029703,33.0
1.8_TSI,1985,326,220,3.2024539877300615,115295.60252365931,32.5
1.8_TSI,1986,471,334,3.290870488322718,122164.50862068965,29.1
1.8_TSI,1987,798,537,3.2481203007518795,130101.84732824427,32.7
1.8_TSI,1988,1213,813,3.448474855729596,129938.73591253154,33.0
1.8_TSI,1989,2161,1432,3.3757519666820914,128809.01694915254,33.7
1.8_TSI,1990,2942,2001,3.447654656696125,132772.92160943462,32.0
1.8_TSI,1991,3016,2062,3.2834880636604775,135860.49612141654,31.6
1.8_TSI,1992,1629,1130,3.1270718232044197,117259.86828963795,30.6
1.8_TSI,1993,1237,847,2.940986257073565,97889.15089722675,31.5
1.8_TSI,1994,1341,864,3.482475764354959,99160.85464231354,35.6
1.8_TSI,1995,1699,1149,3.5002942907592702,102748.3038438072,32.4
1.8_TSI,1996,3208,2190,3.4018079800498753,102157.66666666667,31.7
1.8_TSI,1997,1696,1161,3.3732311320754715,99853.87081339712,31.5
1.8_TSI,1998,958,647,3.453027139874739,106933.42315789474,32.5
1.8_TSI,1999,1728,1191,3.1597222222222223,118501.87771898884,31.1
1.8_TSI,2000,3458,2402,2.8736263736263736,120939.17949471211,30.5
1.8_TSI,2001,7580,5473,2.6151715039577836,115905.09572057059,27.8
1.8_TSI,2002,6064,4468,2.441787598944591,105814.09701616935,26.3
1.8_TSI,2003,2944,2271,1.9391983695652173,100048.50633778691,22.9
1.8_TSI,2004,235,184,1.6127659574468085,95259.1948051948,21.7
1.8_TSI,2005,7,6,1.2857142857142858,76988.28571428571,14.3
1.8_TSI,2006,3,3,1.0,59475.666666666664,0.0
1.8_TSI,2007,7,7,0.2857142857142857,50286.142857142855,0.0
1.8_TSI,2008,4,4,1.25,80036.25,0.0
1.8_TSI,2009,1,1,1.0,41907.0,0.0
1.8_TSI,2011,1,1,0.0,23994.0,0.0
1.9_TDI,1971,16,8,6.4375,156345.4375,50.0
1.9_TDI,1982,3,1,5.333333333333333,47360.0,66.7
1.9_TDI,1983,4,4,0.75,104493.75,0.0
1.9_TDI,1984,5,2,4.2,67367.4,60.0
1.9_TDI,1986,2,1,4.5,41386.5,50.0
1.9_TDI,1987,1,1,2.0,129875.0,0.0
1.9_TDI,1988,5,3,8.6,122824.4,40.0
1.9_TDI,1989,10,7,2.7,111918.3,30.0
1.9_TDI,1990,10,7,3.0,169869.0,30.0
1.9_TDI,1991,4,4,1.25,116360.25,0.0
1.9_TDI,1992,56,35,3.6785714285714284,136329.7142857143,37.5
1.9_TDI,1993,168,109,3.9583333333333335,134381.10303030303,35.1
1.9_TDI,1994,653,416,4.249617151607963,138619.9196290572,36.3
1.9_TDI,1995,1384,875,4.204479768786127,139394.20861678006,36.8
1.9_TDI,1996,2810,1766,4.249110320284697,147153.37246376812,37.2
1.9_TDI,1997,2405,1518,4.124324324324324,145929.88217905405,36.9
1.9_TDI,1998,1754,1139,3.952679589509692,150511.3652173913,35.1
1.9_TDI,1999,2492,1661,3.6219903691813804,145965.74949248883,33.3
1.9_TDI,2000,7934,5483,3.052810688177464,145371.9010695187,30.9
1.9_TDI,2001,27939,19585,2.8910483553455744,139668.6018541991,29.9
1.9_TDI,2002,48069,34411,2.6149077367950238,132564.3160085783,28.4
1.9_TDI,2003,37912,28328,2.2990346064570586,125139.61929609712,25.3
1.9_TDI,2004,20229,14897,2.1645162884967126,113484.28932387895,26.4
1.9_TDI,2005,17988,13596,1.7738492328218813,103733.70221847795,24.4
1.9_TDI,2006,16208,12854,1.4765547877591314,90385.34773137487,20.7
